Quarter,Time,Down,ToGo,Location,GNB,TEN,Detail,EPB,EPA
1,7:04,2,8,GNB 10,0,13,"DeMarco Murray pass complete short right to Delanie Walker for 10 yards, touchdown",4.450,7.000
1,6:58,,,GNB 15,0,14,Ryan Succop kicks extra point good,0.000,0.000
1,6:58,,,TEN 35,0,14,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
1,6:58,1,10,GNB 25,0,14,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson,0.610,0.060
1,6:53,2,10,GNB 25,0,14,Ty Montgomery middle for 2 yards (tackle by Daimion Stafford and Austin Johnson),0.060,-0.360
1,6:08,3,8,GNB 27,0,14,Aaron Rodgers sacked by Kevin Byard for -8 yards,-0.360,-2.140
1,5:35,4,16,GNB 19,0,14,"Jake Schum punts 54 yards, returned by Marc Mariani for 12 yards (tackle by Joe Thomas). Penalty on Nate Palmer: Offensive Holding, 10 yards",-2.140,-0.870
1,5:25,1,10,TEN 29,0,14,Derrick Henry right tackle for 5 yards (tackle by Blake Martinez),0.870,1.000
1,4:48,2,5,TEN 34,0,14,Marcus Mariota pass complete short left to Delanie Walker for 14 yards (tackle by Ha Ha Clinton-Dix),1.000,2.130
1,4:08,1,10,TEN 48,0,14,Derrick Henry middle for 2 yards (tackle by Datone Jones and Joe Thomas),2.130,1.850
1,3:29,2,8,,0,14,Derrick Henry middle for 1 yard (tackle by Joe Thomas and Morgan Burnett),1.850,1.290
1,2:46,3,7,GNB 49,0,14,Marcus Mariota pass complete short right to Delanie Walker for 14 yards (tackle by Kentrell Brice),1.290,3.250
1,2:15,1,10,GNB 35,0,14,Marcus Mariota pass complete short right to Rishard Matthews for 9 yards,3.250,3.920
1,1:37,2,1,GNB 26,0,14,Derrick Henry right guard for -2 yards (tackle by Jayrone Elliott),3.920,2.940
1,0:59,3,3,GNB 28,0,14,Marcus Mariota pass complete short middle to Delanie Walker for 19 yards (tackle by Ladarius Gunter),2.940,5.140
1,0:13,1,9,GNB 9,0,20,"Marcus Mariota pass complete short left to Anthony Fasano for 9 yards, touchdown",5.140,7.000
1,0:08,,,GNB 15,0,21,Ryan Succop kicks extra point good,0.000,0.000
1,0:08,,,TEN 35,0,21,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
1,0:08,1,10,GNB 25,0,21,Aaron Rodgers pass complete short right to Jordy Nelson for 9 yards (tackle by Perrish Cox),0.610,1.280
Quarter,Time,Down,ToGo,Location,GNB,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,GNB 34,0,21,James Starks right guard for 5 yards (tackle by DaQuan Jones and Rashad Johnson),1.280,1.530
2,14:30,1,10,GNB 39,0,21,Aaron Rodgers pass complete short right to Richard Rodgers for 4 yards (tackle by Rashad Johnson),1.530,1.530
2,13:59,2,6,GNB 43,0,21,Aaron Rodgers pass complete short right to Davante Adams for 14 yards (tackle by Rashad Johnson),1.530,2.720
2,13:29,1,10,TEN 43,0,21,James Starks left end for 11 yards (tackle by Jason McCourty),2.720,3.450
2,12:57,1,10,TEN 32,0,21,Aaron Rodgers pass complete short left to Davante Adams for 17 yards (tackle by Da'Norris Searcy),3.450,4.580
2,12:12,1,10,TEN 15,0,21,Aaron Rodgers pass complete short left to Randall Cobb for 8 yards (tackle by Jason McCourty),4.580,5.410
2,11:42,2,2,TEN 7,0,21,Aaron Rodgers pass complete short right to Randall Cobb for 6 yards (tackle by Avery Williamson),5.410,6.970
2,10:57,1,1,TEN 1,0,21,Aaron Rodgers pass incomplete short right intended for Davante Adams. Penalty on Brian Orakpo: Defensive Offside (no play),6.970,6.970
2,10:53,1,1,TEN 1,6,21,"Aaron Rodgers pass complete short left to Jordy Nelson for 1 yard, touchdown",6.970,7.000
2,10:49,,,TEN 15,7,21,Mason Crosby kicks extra point good,0.000,0.000
2,10:49,,,GNB 35,7,21,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
2,10:49,1,10,TEN 25,7,21,DeMarco Murray right tackle for 6 yards (tackle by Kyler Fackrell),0.610,0.870
2,10:14,2,4,TEN 31,7,21,Marcus Mariota pass complete short right to Delanie Walker for 2 yards (tackle by Blake Martinez),0.870,0.430
2,9:30,3,2,TEN 33,7,21,Marcus Mariota pass complete short right to DeMarco Murray for 35 yards (tackle by Kentrell Brice),0.430,3.450
2,8:52,1,10,GNB 32,7,27,"Marcus Mariota pass complete deep left to Rishard Matthews for 32 yards, touchdown",3.450,7.000
2,8:45,,,GNB 15,7,28,Ryan Succop kicks extra point good,0.000,0.000
2,8:45,,,TEN 35,7,28,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
2,8:45,1,10,GNB 25,7,28,"James Starks right tackle for 16 yards (tackle by Brice McCain). Penalty on David Bakhtiari: Offensive Holding, 10 yards (no play)",0.610,-0.410
2,8:19,1,20,GNB 15,7,28,Aaron Rodgers pass complete deep right to Davante Adams for 46 yards (tackle by Da'Norris Searcy),-0.410,2.980
2,7:41,1,10,TEN 39,7,28,Aaron Rodgers pass complete short right to Jordy Nelson for 15 yards (tackle by Da'Norris Searcy),2.980,3.970
2,7:00,1,10,TEN 24,7,28,Aaron Rodgers pass complete short right to Jordy Nelson for 8 yards (tackle by LeShaun Sims),3.970,4.650
2,6:41,2,2,TEN 16,7,28,Aaron Rodgers pass complete short right to Jordy Nelson for 7 yards (tackle by LeShaun Sims),4.650,5.140
2,5:56,1,9,TEN 9,7,28,"James Starks right guard for no gain (tackle by Kevin Dodd and DaQuan Jones). Penalty on Lane Taylor: Offensive Holding, 10 yards (no play)",5.140,4.230
2,5:33,1,19,TEN 19,7,28,Aaron Rodgers pass complete short right to James Starks for -4 yards (tackle by Jurrell Casey and Daimion Stafford),4.230,2.600
2,4:49,2,23,TEN 23,7,28,Aaron Rodgers pass complete short right to Richard Rodgers for 12 yards (tackle by Daimion Stafford),2.600,3.120
2,4:04,3,11,TEN 11,7,28,Aaron Rodgers pass incomplete short right intended for Jordy Nelson (defended by Perrish Cox),3.120,2.700
2,4:00,4,11,TEN 11,10,28,Mason Crosby 29 yard field goal good,2.700,3.000
2,3:55,,,GNB 35,10,28,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
2,3:55,1,10,TEN 25,10,28,Derrick Henry right tackle for 19 yards (tackle by Morgan Burnett),0.610,1.860
2,3:16,1,10,TEN 44,10,28,Derrick Henry middle for 1 yard (tackle by Nick Perry),1.860,1.450
2,2:43,2,9,TEN 45,10,28,Derrick Henry middle for -1 yards (tackle by Nick Perry),1.450,0.000
2,2:40,,,,10,28,Timeout #2 by Green Bay Packers,0.000,-0.630
2,2:40,3,10,TEN 44,10,28,Marcus Mariota pass incomplete deep middle intended for Delanie Walker (defended by Kentrell Brice),0.630,-0.460
2,2:35,4,10,TEN 44,10,28,"Brett Kern punts 34 yards, muffed catch by Trevor Davis, recovered by LeShaun Sims and returned for no gain. Penalty on Kyler Fackrell: Unsportsmanlike Conduct, 12 yards",-0.460,4.780
2,2:22,1,10,GNB 12,10,28,Marcus Mariota pass incomplete short right intended for Delanie Walker,4.780,4.100
2,2:16,2,10,GNB 12,10,28,Marcus Mariota left end for 6 yards (tackle by Ha Ha Clinton-Dix),4.100,4.380
2,2:00,3,4,GNB 6,10,34,"Marcus Mariota pass complete short right to Kendall Wright for 6 yards, touchdown",4.380,7.000
2,1:55,,,GNB 15,10,35,Ryan Succop kicks extra point good,0.000,0.000
2,1:55,,,TEN 35,10,35,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
2,1:55,1,10,GNB 25,10,35,Aaron Rodgers pass complete short right to Jordy Nelson for 18 yards,0.610,1.800
2,1:51,1,10,GNB 43,10,35,Aaron Rodgers pass incomplete short left intended for Geronimo Allison,1.800,1.250
2,1:45,2,10,GNB 43,10,35,Aaron Rodgers pass incomplete short right intended for Richard Rodgers,1.250,0.560
2,1:41,3,10,GNB 43,10,35,Aaron Rodgers pass complete deep middle to Davante Adams for 38 yards (tackle by Rashad Johnson),0.560,4.310
2,0:57,1,10,TEN 19,10,35,Aaron Rodgers pass complete short left to Davante Adams for 6 yards,4.310,4.720
2,0:51,2,4,TEN 13,16,35,"Aaron Rodgers pass complete short left to James Starks for 13 yards, touchdown",4.720,7.000
2,0:43,,,TEN 15,16,35,Mason Crosby kicks extra point no good,0.000,-1.000
2,0:43,,,GNB 35,16,35,"Mason Crosby kicks off 52 yards, returned by Marc Mariani for 28 yards (tackle by Kentrell Brice)",0.000,-1.660
2,0:37,1,10,TEN 41,16,35,Marcus Mariota pass complete short left to Tajae Sharpe for 14 yards (tackle by Ha Ha Clinton-Dix),1.660,0.000
2,0:31,,,,16,35,Timeout #1 by Tennessee Titans,0.000,-2.590
2,0:31,1,10,GNB 45,16,35,Marcus Mariota pass incomplete short left intended for Kendall Wright,2.590,2.040
2,0:26,2,10,GNB 45,16,35,Marcus Mariota pass incomplete deep right intended for Rishard Matthews,2.040,1.360
2,0:26,3,10,GNB 45,16,35,"Penalty on Ha Ha Clinton-Dix: Defensive Delay of Game, 5 yards (no play)",1.360,2.010
2,0:21,3,5,GNB 40,16,35,Marcus Mariota pass incomplete short left intended for Rishard Matthews,2.010,0.000
2,0:14,,,,16,35,Timeout #2 by Tennessee Titans,0.000,-0.590
2,0:14,4,5,GNB 40,16,35,Marcus Mariota pass incomplete short right intended for DeMarco Murray,0.590,-1.600
2,0:10,1,10,GNB 40,16,35,Aaron Rodgers for 7 yards (tackle by Brian Orakpo),1.600,0.000
2,0:01,,,,16,35,Timeout #3 by Green Bay Packers,0.000,-2.000
2,0:01,2,3,GNB 47,16,35,Aaron Rodgers pass incomplete deep middle intended for Davante Adams is intercepted by Brice McCain at TEN--7 and returned for 33 yards,2.000,0.000
Quarter,Time,Down,ToGo,Location,GNB,TEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 35,16,35,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,TEN 25,16,35,Marcus Mariota pass complete short left to Delanie Walker for 8 yards (tackle by Ladarius Gunter),0.610,1.140
3,14:27,2,2,TEN 33,16,35,DeMarco Murray right tackle for no gain (tackle by Blake Martinez),1.140,0.430
3,13:48,3,2,TEN 33,16,35,DeMarco Murray middle for 1 yard (tackle by Morgan Burnett and Nick Perry),0.430,-1.110
3,13:13,4,1,TEN 34,16,35,"Brett Kern punts 44 yards, fair catch by Micah Hyde",-1.110,-0.410
3,13:05,1,10,GNB 22,16,35,Aaron Rodgers pass incomplete deep right intended for Randall Cobb,0.410,-0.130
3,12:59,2,10,GNB 22,16,35,Aaron Rodgers pass complete short right to Jordy Nelson for 9 yards (tackle by Perrish Cox),-0.130,0.370
3,12:28,3,1,GNB 31,16,35,Aaron Rodgers middle for no gain (tackle by Jurrell Casey),0.370,-1.310
3,11:49,4,1,GNB 31,16,35,James Starks right end for 7 yards (tackle by Brice McCain),-1.310,1.470
3,11:24,1,10,GNB 38,16,35,Aaron Rodgers pass incomplete short left intended for James Starks (defended by Sean Spence),1.470,0.920
3,11:17,2,10,GNB 38,16,35,Aaron Rodgers pass complete short left to Jordy Nelson for 5 yards (tackle by Kevin Byard),0.920,0.890
3,10:30,3,5,GNB 43,16,35,Aaron Rodgers pass incomplete short right intended for Justin Perillo,0.890,-0.520
3,10:25,4,5,GNB 43,16,35,Aaron Rodgers pass complete deep left to Davante Adams for 35 yards (tackle by Jason McCourty). Penalty on Perrish Cox: Illegal Use of Hands (Declined),-0.520,4.110
3,9:46,1,10,TEN 22,16,35,Aaron Rodgers pass complete short right to James Starks for 2 yards (tackle by Brice McCain),4.110,3.830
3,9:02,2,8,TEN 20,22,35,"Aaron Rodgers middle for 20 yards, touchdown. Penalty on Perrish Cox: Unnecessary Roughness, 15 yards",3.830,7.000
3,8:53,,,TEN 2,22,35,"Two Point Attempt: James Starks middle, conversion fails",0.000,-1.000
3,8:53,,,,22,35,"Mason Crosby kicks onside 10 yards. Penalty on GNB: Offside on Free Kick, 5 yards",0.000,-1.930
3,8:53,1,10,TEN 45,22,35,DeMarco Murray right tackle for 4 yards (tackle by Quinten Rollins),1.930,1.920
3,8:17,2,6,TEN 49,22,35,"Marcus Mariota pass complete short right to DeMarco Murray for -2 yards (tackle by Quinten Rollins). Penalty on Mike Daniels: Unsportsmanlike Conduct, 15 yards",1.920,3.050
3,7:46,1,10,GNB 38,22,35,DeMarco Murray middle for 3 yards (tackle by Blake Martinez),3.050,2.910
3,7:15,2,7,GNB 35,22,35,Marcus Mariota pass complete short right to Kendall Wright for 2 yards (tackle by Nick Perry),2.910,2.480
3,6:35,3,5,GNB 33,22,41,"Marcus Mariota pass complete deep right to Tajae Sharpe for 33 yards, touchdown. Penalty on Tajae Sharpe: Unsportsmanlike Conduct, 15 yards",2.480,7.000
3,6:27,,,GNB 2,22,41,"Two Point Attempt: Marcus Mariota pass incomplete intended for Rishard Matthews, conversion fails",0.000,-1.000
3,6:27,,,TEN 20,22,41,"Ryan Succop kicks off 69 yards, returned by Ty Montgomery for 23 yards (tackle by Phillip Supernaw)",0.000,-1.200
3,6:22,1,10,GNB 34,22,41,Aaron Rodgers pass complete short middle to Geronimo Allison for 17 yards (tackle by Wesley Woodyard),1.200,2.320
3,5:41,1,10,TEN 49,22,41,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson (defended by Antwon Blake),2.320,1.780
3,5:35,2,10,TEN 49,22,41,Aaron Rodgers pass complete short right to Ty Montgomery for 3 yards (tackle by Antwon Blake),1.780,1.490
3,4:49,3,7,TEN 46,22,41,Aaron Rodgers pass complete short middle to Jordy Nelson for 14 yards (tackle by Jason McCourty). Penalty on Rashad Johnson: Illegal Contact (Declined),1.490,3.450
3,4:19,1,10,TEN 32,22,41,James Starks middle for 3 yards (tackle by Derrick Morgan),3.450,3.310
3,3:38,2,7,TEN 29,22,41,Aaron Rodgers pass complete short right to Jordy Nelson for 3 yards (tackle by Kevin Byard),3.310,3.010
3,2:59,3,4,TEN 26,22,41,Aaron Rodgers pass complete short left to Randall Cobb for 6 yards (tackle by Brice McCain),3.010,4.240
3,2:42,1,10,TEN 20,22,41,"Aaron Rodgers pass incomplete short right intended for Randall Cobb (defended by Perrish Cox). Penalty on Jurrell Casey: Defensive Offside, 5 yards (no play)",4.240,5.190
3,2:36,1,5,TEN 15,22,41,Aaron Rodgers pass incomplete short left intended for Davante Adams,5.190,4.450
3,2:28,2,5,TEN 15,22,41,"Penalty on Aaron Rodgers: Delay of Game, 5 yards (no play)",4.450,3.690
3,2:28,2,10,TEN 20,22,41,Aaron Rodgers sacked by Brian Orakpo for -11 yards,3.690,1.550
3,1:44,3,21,TEN 31,22,41,Aaron Rodgers pass complete short middle to Randall Cobb for 11 yards (tackle by Sean Spence),1.550,2.120
3,1:02,4,10,TEN 20,25,41,Mason Crosby 38 yard field goal good,2.120,3.000
3,0:57,,,GNB 35,25,41,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.610
3,0:57,1,10,TEN 25,25,41,DeMarco Murray left end for -1 yards (tackle by Ha Ha Clinton-Dix and Nick Perry),0.610,-0.070
3,0:18,2,11,TEN 24,25,41,"Penalty on Jack Conklin: False Start, 5 yards (no play)",-0.070,-0.810
Quarter,Time,Down,ToGo,Location,GNB,TEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,16,TEN 19,25,41,Marcus Mariota pass complete short middle to Delanie Walker for 8 yards (tackle by Blake Martinez),-0.810,-0.360
4,14:19,3,8,TEN 27,25,41,Marcus Mariota sacked by Morgan Burnett for -13 yards,-0.360,-2.470
4,13:44,4,21,TEN 14,25,41,"Brett Kern punts 42 yards, returned by Micah Hyde for 2 yards (tackle by Antwon Blake)",-2.470,-1.990
4,13:34,1,10,GNB 46,25,41,"Penalty on Don Barclay: False Start, 5 yards (no play)",1.990,1.660
4,13:34,1,15,GNB 41,25,41,Aaron Rodgers pass complete short right to Jordy Nelson for 17 yards (tackle by Brice McCain),1.660,2.790
4,12:52,1,10,TEN 42,25,41,James Starks right guard for 1 yard (tackle by Kevin Byard),2.790,2.380
4,12:20,2,9,TEN 41,25,41,Aaron Rodgers pass incomplete short middle intended for Randall Cobb,2.380,1.680
4,12:15,3,9,TEN 41,25,41,Aaron Rodgers pass incomplete deep right intended for Jordy Nelson (defended by Perrish Cox),1.680,0.530
4,12:07,4,9,TEN 41,25,41,Aaron Rodgers pass incomplete short right intended for Richard Rodgers,0.530,-1.660
4,12:00,1,10,TEN 41,25,41,"Marcus Mariota left end for 2 yards (tackle by Ha Ha Clinton-Dix). Penalty on Ha Ha Clinton-Dix: Unnecessary Roughness, 15 yards",1.660,2.790
4,11:35,1,10,GNB 42,25,41,DeMarco Murray middle for 1 yard (tackle by Blake Martinez and Mike Pennel),2.790,2.380
4,10:55,2,9,GNB 41,25,41,Marcus Mariota pass incomplete deep left intended for Tajae Sharpe (defended by Ladarius Gunter),2.380,1.680
4,10:50,3,9,GNB 41,25,41,Marcus Mariota pass complete short right to Delanie Walker for 8 yards (tackle by Kentrell Brice and Ha Ha Clinton-Dix),1.680,1.210
4,10:01,4,1,GNB 33,25,44,Ryan Succop 51 yard field goal good,1.210,3.000
4,9:56,,,TEN 35,25,44,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
4,9:55,1,10,GNB 25,25,44,Aaron Rodgers pass incomplete short middle intended for Jordy Nelson,0.610,0.060
4,9:51,2,10,GNB 25,25,44,Aaron Rodgers sacked by Derrick Morgan for -9 yards,0.060,-2.140
4,9:06,3,19,GNB 16,25,44,Aaron Rodgers pass incomplete deep right intended for Richard Rodgers is intercepted by Perrish Cox at GNB-49,-2.140,-2.320
4,8:55,1,10,GNB 49,25,44,DeMarco Murray right guard for -2 yards (tackle by Jayrone Elliott),2.320,0.000
4,8:46,,,,25,44,Timeout #1 by Green Bay Packers,0.000,-1.510
4,8:46,2,12,TEN 49,25,44,DeMarco Murray left end for 9 yards (tackle by Joe Thomas),1.510,2.020
4,8:03,3,3,GNB 42,25,44,Marcus Mariota pass complete deep right to Rishard Matthews for 22 yards (tackle by Micah Hyde),2.020,4.240
4,7:19,1,10,GNB 20,25,44,DeMarco Murray right tackle for 4 yards (tackle by Demetri Goodson and Blake Martinez),4.240,4.280
4,6:40,2,6,GNB 16,25,44,DeMarco Murray right end for 6 yards (tackle by Micah Hyde),4.280,4.910
4,5:57,1,10,GNB 10,25,44,DeMarco Murray middle for 2 yards (tackle by Kenny Clark),4.910,0.000
4,5:50,,,,25,44,Timeout #2 by Green Bay Packers,0.000,-4.570
4,5:50,2,8,GNB 8,25,44,DeMarco Murray right tackle for 2 yards (tackle by Joe Thomas and Blake Martinez),4.570,0.000
4,5:43,,,,25,44,Timeout #3 by Green Bay Packers,0.000,-4.040
4,5:43,3,6,GNB 6,25,44,Marcus Mariota left end for 1 yard (tackle by Blake Martinez),4.040,3.010
4,4:56,4,5,GNB 5,25,47,Ryan Succop 23 yard field goal good,3.010,3.000
4,4:52,,,TEN 35,25,47,"Ryan Succop kicks off 73 yards, returned by Jeff Janis for 28 yards (tackle by Da'Norris Searcy)",0.000,-0.280
4,4:47,1,10,GNB 20,25,47,Aaron Rodgers pass complete short right to Richard Rodgers for 6 yards (tackle by Kevin Byard),0.280,0.540
4,4:27,2,4,GNB 26,25,47,Aaron Rodgers pass complete short right to Richard Rodgers for 5 yards (tackle by Kevin Byard),0.540,1.000
4,4:00,1,10,GNB 31,25,47,Aaron Rodgers sacked by Brian Orakpo for -8 yards. Penalty on Jason Spriggs: Offensive Holding (Declined),1.000,-0.620
4,3:54,2,18,GNB 23,25,47,Aaron Rodgers pass incomplete short left intended for Trevor Davis,-0.620,-1.290
4,3:47,3,18,GNB 23,25,47,Aaron Rodgers pass incomplete deep right intended for Davante Adams,-1.290,-1.830
4,3:42,4,18,GNB 23,25,47,"Jake Schum punts 57 yards, returned by Marc Mariani for 11 yards (tackle by Jayrone Elliott)",-1.830,-1.000
4,3:32,1,10,TEN 31,25,47,Derrick Henry right tackle for 2 yards (tackle by Morgan Burnett),1.000,0.730
4,2:46,2,8,TEN 33,25,47,Derrick Henry left guard for 4 yards (tackle by Kentrell Brice),0.730,0.560
4,2:00,3,4,TEN 37,25,47,Marcus Mariota sacked by Datone Jones for -8 yards,0.560,-1.440
4,1:18,4,12,TEN 29,25,47,"Brett Kern punts 39 yards, fair catch by Micah Hyde. Penalty on Joe Thomas: Roughing the Kicker (Offsetting), Penalty on Antwon Blake: Interference with Opportunity to (Offsetting) (no play)",-1.440,-1.440
4,1:10,4,12,TEN 29,25,47,"Brett Kern punts 46 yards, returned by Trevor Davis for 12 yards (tackle by Nate Palmer)",-1.440,-1.400
4,0:58,1,10,GNB 37,25,47,Brett Hundley pass complete short left to Ty Montgomery for 8 yards (tackle by Jason McCourty),1.400,1.940
4,0:51,2,2,GNB 45,25,47,Brett Hundley pass incomplete short right intended for Jeff Janis (defended by Jason McCourty),1.940,1.220
4,0:45,3,2,GNB 45,25,47,Brett Hundley pass incomplete short middle intended for Jeff Janis,1.220,-0.390
4,0:41,4,2,GNB 45,25,47,Brett Hundley pass incomplete short right intended for Jeff Janis (defended by Perrish Cox),-0.390,-2.590
4,0:35,1,10,GNB 45,25,47,Marcus Mariota kneels for -1 yards,2.590,1.910
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
