Quarter,Time,Tm,Detail,GNB,TEN
1.0,13:17,Titans,DeMarco Murray 75 yard rush (Ryan Succop kick),0,7
,6:58,Titans,Delanie Walker 10 yard pass from DeMarco Murray (Ryan Succop kick),0,14
,0:08,Titans,Anthony Fasano 9 yard pass from Marcus Mariota (Ryan Succop kick),0,21
2.0,10:49,Packers,Jordy Nelson 1 yard pass from Aaron Rodgers (Mason Crosby kick),7,21
,8:45,Titans,Rishard Matthews 32 yard pass from Marcus Mariota (Ryan Succop kick),7,28
,3:55,Packers,Mason Crosby 29 yard field goal,10,28
,1:55,Titans,Kendall Wright 6 yard pass from Marcus Mariota (Ryan Succop kick),10,35
,0:43,Packers,James Starks 13 yard pass from Aaron Rodgers (Mason Crosby kick failed),16,35
3.0,8:53,Packers,Aaron Rodgers 20 yard rush (run failed),22,35
,6:27,Titans,Tajae Sharpe 33 yard pass from Marcus Mariota (pass failed),22,41
,0:57,Packers,Mason Crosby 38 yard field goal,25,41
4.0,9:56,Titans,Ryan Succop 51 yard field goal,25,44
,4:52,Titans,Ryan Succop 23 yard field goal,25,47
