Unnamed: 0,SEA,JAX
First Downs,20,18
Rush-Yds-TDs,19-97-0,31-119-0
Cmp-Att-Yd-TD-INT,21-36-246-2-2,18-32-258-2-0
Sacked-Yards,3-21,3-15
Net Pass Yards,225,243
Total Yards,322,362
Fumbles-Lost,3-3,1-0
Turnovers,5,0
Penalties-Yards,5-29,6-31
Third Down Conv.,3-9,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,25:49,34:11
