Quarter,Time,Tm,Detail,SEA,JAX
1.0,11:03,Jaguars,Josh Scobee 23 yard field goal,0,3
,3:49,Jaguars,Josh Scobee 41 yard field goal,0,6
2.0,14:52,Seahawks,Joe Jurevicius 33 yard pass from Matt Hasselbeck (Josh Brown kick),7,6
,4:17,Jaguars,Jimmy Smith 30 yard pass from Byron Leftwich (Josh Scobee kick),7,13
,0:47,Seahawks,Darrell Jackson 9 yard pass from Matt Hasselbeck (Josh Brown kick),14,13
3.0,8:39,Jaguars,Jimmy Smith 7 yard pass from Byron Leftwich (Josh Scobee kick),14,20
4.0,4:32,Jaguars,Josh Scobee 29 yard field goal,14,23
,1:55,Jaguars,Josh Scobee 41 yard field goal,14,26
