Unnamed: 0,NYG,LAR
First Downs,19,15
Rush-Yds-TDs,25-136-0,23-58-1
Cmp-Att-Yd-TD-INT,23-36-190-0-1,25-32-200-1-0
Sacked-Yards,5-31,2-18
Net Pass Yards,159,182
Total Yards,295,240
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,4-20,1-5
Third Down Conv.,4-13,5-13
Fourth Down Conv.,1-2,1-1
Time of Possession,33:18,26:42
