Quarter,Time,Tm,Detail,NYG,LAR
1.0,6:19,Rams,Gerald Everett 2 yard rush (Sam Sloman kick),0,7
2.0,14:51,Giants,Graham Gano 35 yard field goal,3,7
,3:52,Rams,Sam Sloman 32 yard field goal,3,10
,0:00,Giants,Graham Gano 37 yard field goal,6,10
4.0,14:11,Giants,Graham Gano 27 yard field goal,9,10
,6:56,Rams,Cooper Kupp 55 yard pass from Jared Goff (Sam Sloman kick),9,17
