Unnamed: 0,ARI,CAR
First Downs,22,19
Rush-Yds-TDs,10-24-0,36-141-2
Cmp-Att-Yd-TD-INT,35-46-363-3-1,14-27-212-0-0
Sacked-Yards,8-47,1-4
Net Pass Yards,316,208
Total Yards,340,349
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,10-88,5-40
Third Down Conv.,4-12,6-14
Fourth Down Conv.,1-1,1-2
Time of Possession,29:12,30:48
