Quarter,Time,Tm,Detail,ARI,CAR
1.0,11:48,Panthers,Thomas Davis 46 yard defensive fumble return (Graham Gano kick),0,7
,2:24,Panthers,Jonathan Stewart 2 yard rush (Graham Gano kick),0,14
2.0,11:05,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick),0,21
,2:45,Panthers,Graham Gano 43 yard field goal,0,24
,0:20,Cardinals,JJ Nelson 5 yard pass from Carson Palmer (Chandler Catanzaro kick),7,24
3.0,11:56,Panthers,Graham Gano 52 yard field goal,7,27
,7:18,Panthers,Graham Gano 21 yard field goal,7,30
,1:45,Cardinals,John Brown 17 yard pass from Carson Palmer (Chandler Catanzaro kick),14,30
4.0,5:01,Cardinals,JJ Nelson 4 yard pass from Carson Palmer (pass failed),20,30
