Unnamed: 0,SFO,GNB
First Downs,13,18
Rush-Yds-TDs,21-73-0,48-243-0
Cmp-Att-Yd-TD-INT,14-30-142-1-1,10-15-138-2-3
Sacked-Yards,4-23,1-2
Net Pass Yards,119,136
Total Yards,192,379
Fumbles-Lost,0-0,1-0
Turnovers,1,3
Penalties-Yards,6-45,4-40
Third Down Conv.,3-12,8-15
Fourth Down Conv.,1-1,0-0
Time of Possession,25:17,34:43
