Quarter,Time,Tm,Detail,SFO,GNB
1.0,11:31,Packers,Javon Walker 66 yard pass from Brett Favre (Ryan Longwell kick),0,7
2.0,8:00,Packers,Robert Ferguson 16 yard pass from Brett Favre (Ryan Longwell kick),0,14
,2:00,49ers,Todd Peterson 24 yard field goal,3,14
,0:00,Packers,Ryan Longwell 38 yard field goal,3,17
3.0,1:33,49ers,Terrell Owens 24 yard pass from Tim Rattay (Todd Peterson kick),10,17
4.0,7:44,Packers,Ryan Longwell 37 yard field goal,10,20
