Unnamed: 0,DEN,CAR
First Downs,18,19
Rush-Yds-TDs,22-65-1,21-52-0
Cmp-Att-Yd-TD-INT,27-38-301-1-0,21-36-241-2-2
Sacked-Yards,1-6,7-43
Net Pass Yards,295,198
Total Yards,360,250
Fumbles-Lost,3-2,2-0
Turnovers,2,2
Penalties-Yards,7-60,7-45
Third Down Conv.,3-13,0-12
Fourth Down Conv.,0-0,0-0
Time of Possession,28:26,31:34
