Quarter,Time,Down,ToGo,Location,DEN,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,CAR 20,0,0,Cam Newton pass complete short right to Jonathan Stewart for 4 yards (tackle by Champ Bailey),0.280,0.270
1,15:00,2,6,CAR 24,0,0,Jonathan Stewart left tackle for 14 yards (tackle by Rahim Moore),0.270,1.470
1,13:47,1,10,CAR 38,0,0,Cam Newton pass complete short left to Brandon LaFell for 5 yards (tackle by Champ Bailey),1.470,1.600
1,13:08,2,5,CAR 43,0,0,Cam Newton for 1 yard (tackle by Elvis Dumervil),1.600,1.020
1,12:22,3,4,CAR 44,0,0,Cam Newton sacked by Von Miller for -6 yards,1.020,-0.850
1,11:53,4,10,CAR 38,0,0,"Brad Nortman punts 50 yards, returned by Trindon Holliday for 2 yards (tackle by Jordan Senn)",-0.850,0.280
1,11:40,1,10,DEN 14,0,0,Willis McGahee right tackle for 3 yards (tackle by James Anderson and Dwan Edwards),-0.280,-0.370
1,11:11,2,7,DEN 17,0,0,Peyton Manning pass complete short right to Jacob Tamme for 6 yards (tackle by Josh Thomas and Thomas Davis),-0.370,-0.320
1,10:31,3,1,DEN 23,0,0,Willis McGahee up the middle for no gain (tackle by Charles Johnson),-0.320,-1.830
1,10:02,4,1,DEN 23,0,0,"Britton Colquitt punts 60 yards, returned by Captain Munnerlyn for 6 yards (tackle by Matt Willis)",-1.830,-0.480
1,9:50,1,10,CAR 23,0,0,Jonathan Stewart left guard for 2 yards (tackle by Keith Brooking and Kevin Vickerson),0.480,0.200
1,9:11,2,8,CAR 25,0,0,Cam Newton pass complete short right to Greg Olsen for 26 yards (tackle by Chris Harris),0.200,2.320
1,8:48,1,10,DEN 49,0,0,Cam Newton pass complete short left to Mike Tolbert for 26 yards (tackle by Mike Adams and Keith Brooking),2.320,4.040
1,8:03,1,10,DEN 23,0,0,DeAngelo Williams up the middle for 3 yards (tackle by Robert Ayers and Nate Irving),4.040,3.900
1,7:26,2,7,DEN 20,0,0,Cam Newton pass complete short right to Greg Olsen for 16 yards (tackle by Chris Harris),3.900,6.280
1,6:55,1,4,DEN 4,0,6,"Cam Newton pass complete short left to Greg Olsen for 4 yards, touchdown",6.280,7.000
1,6:55,,,DEN 2,0,7,Justin Medlock kicks extra point good,0.000,0.000
1,6:46,,,CAR 35,0,7,"Justin Medlock kicks off 66 yards, returned by Trindon Holliday for 27 yards (tackle by Jason Phillips)",0.000,0.670
1,6:39,1,10,DEN 26,0,7,Peyton Manning pass complete short left to Willis McGahee for 10 yards (tackle by Charles Godfrey and Dwan Edwards),0.670,1.330
1,6:11,1,10,DEN 36,0,7,Willis McGahee left tackle for 3 yards (tackle by Josh Norman),1.330,1.200
1,5:49,2,7,DEN 39,0,7,Peyton Manning pass complete short right to Eric Decker for 2 yards (tackle by Sherrod Martin and Luke Kuechly),1.200,0.760
1,5:14,3,5,DEN 41,0,7,Peyton Manning pass incomplete deep right intended for Eric Decker,0.760,-0.650
1,5:07,4,5,DEN 41,0,7,"Britton Colquitt punts 52 yards, returned by Captain Munnerlyn for no gain",-0.650,0.380
1,4:56,1,10,CAR 7,0,7,Cam Newton pass incomplete short left intended for Brandon LaFell (defended by Justin Bannan),-0.380,-0.780
1,4:53,2,10,CAR 7,0,7,Jonathan Stewart up the middle for 2 yards (tackle by Keith Brooking),-0.780,-1.190
1,4:14,3,8,CAR 9,0,7,Cam Newton pass incomplete deep right intended for Louis Murphy. Penalty on Amini Silatolu: Illegal Use of Hands (Declined),-1.190,-2.490
1,4:06,4,8,CAR 9,0,7,"Brad Nortman punts 57 yards, returned by Trindon Holliday for 7 yards (tackle by Doug Hogue)",-2.490,-1.660
1,3:48,1,10,DEN 41,0,7,Willis McGahee left guard for 5 yards (tackle by Greg Hardy),1.660,1.800
1,3:23,2,5,DEN 46,0,7,Peyton Manning pass complete deep left to Demaryius Thomas for 32 yards (tackle by Josh Norman),1.800,4.110
1,2:50,1,10,CAR 22,0,7,Willis McGahee right guard for 3 yards (tackle by Thomas Davis and Luke Kuechly),4.110,3.970
1,2:20,2,7,CAR 19,0,7,Peyton Manning pass complete short middle to Joel Dreessen for 9 yards (tackle by Charles Godfrey),3.970,4.910
1,1:39,1,10,CAR 10,6,7,"Peyton Manning pass complete short right to Brandon Stokley for 10 yards, touchdown",4.910,7.000
1,1:39,,,CAR 2,7,7,Matt Prater kicks extra point good,0.000,0.000
1,1:32,,,DEN 35,7,7,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
1,1:32,1,10,CAR 20,7,7,Cam Newton pass incomplete short left intended for Steve Smith,0.280,-0.270
1,1:29,2,10,CAR 20,7,7,Cam Newton left end for 6 yards (tackle by Tony Carter),-0.270,-0.160
1,0:47,3,4,CAR 26,7,7,"Cam Newton sacked by Elvis Dumervil for 0 yards. Cam Newton fumbles (forced by Elvis Dumervil), recovered by Cam Newton at CAR-17",-0.160,-2.320
Quarter,Time,Down,ToGo,Location,DEN,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,13,CAR 17,13,7,"Brad Nortman punts 59 yards, returned by Trindon Holliday for 76 yards, touchdown",-2.320,-7.000
2,,,,CAR 2,14,7,Matt Prater kicks extra point good,0.000,0.000
2,14:40,,,DEN 35,14,7,"Matt Prater kicks off 65 yards, touchback",0.000,0.280
2,14:40,1,10,CAR 20,14,7,DeAngelo Williams right guard for no gain (tackle by Von Miller),0.280,-0.270
2,14:00,2,10,CAR 20,14,7,Cam Newton pass incomplete deep right intended for Steve Smith,-0.270,-0.960
2,13:54,3,10,CAR 20,14,7,Cam Newton pass incomplete short left intended for Steve Smith,-0.960,-2.030
2,13:49,4,10,CAR 20,14,7,"Penalty on Josh Thomas: False Start, 5 yards (no play)",-2.030,-2.440
2,13:49,4,15,CAR 15,14,7,"Brad Nortman punts 47 yards, returned by Trindon Holliday for 7 yards (tackle by Gary Barnidge)",-2.440,-1.930
2,13:38,1,10,DEN 45,14,7,Willis McGahee left tackle for 7 yards (tackle by Luke Kuechly),1.930,2.330
2,13:10,2,3,CAR 48,14,7,Peyton Manning pass complete short left to Demaryius Thomas for 8 yards (tackle by Josh Norman),2.330,2.920
2,12:37,1,10,CAR 40,14,7,"Penalty on Willis McGahee: Illegal Touch Pass, 5 yards (no play)",2.920,2.590
2,12:06,1,15,CAR 45,14,7,Peyton Manning pass complete short right to Demaryius Thomas for 2 yards (tackle by Andre Neblett and Luke Kuechly),2.590,1.970
2,11:32,2,13,CAR 43,14,7,Peyton Manning pass complete short left to Ronnie Hillman for 7 yards (tackle by Thomas Davis),1.970,2.210
2,11:00,3,6,CAR 36,14,7,Peyton Manning pass complete short right to Demaryius Thomas for 1 yard (tackle by Sherrod Martin),2.210,0.980
2,10:17,4,5,CAR 35,17,7,Matt Prater 53 yard field goal good,0.980,3.000
