Quarter,Time,Tm,Detail,BAL,CHI
1.0,0:19,Bears,Marc Edwards 9 yard pass from Kyle Orton (Robbie Gould kick),0,7
2.0,8:46,Ravens,Matt Stover 40 yard field goal,3,7
,0:26,Ravens,Matt Stover 29 yard field goal,6,7
3.0,2:52,Bears,Robbie Gould 23 yard field goal,6,10
