Quarter,Time,Tm,Detail,IND,HOU
1.0,10:23,Texans,Ron Dayne 3 yard rush (Kris Brown kick),0,7
,5:46,Texans,Ron Dayne 6 yard rush (Kris Brown kick),0,14
,0:58,Colts,Marvin Harrison 37 yard pass from Peyton Manning (Adam Vinatieri kick),7,14
2.0,8:16,Colts,Aaron Moorehead 9 yard pass from Peyton Manning (Adam Vinatieri kick),14,14
,0:16,Texans,Vonta Leach 3 yard pass from David Carr (Kris Brown kick),14,21
3.0,1:23,Colts,Adam Vinatieri 33 yard field goal,17,21
4.0,6:54,Texans,Kris Brown 42 yard field goal,17,24
,2:41,Colts,Marvin Harrison 7 yard pass from Peyton Manning (Adam Vinatieri kick),24,24
,0:00,Texans,Kris Brown 48 yard field goal,24,27
