Unnamed: 0,NYG,WAS
First Downs,21,25
Rush-Yds-TDs,28-163-1,22-87-1
Cmp-Att-Yd-TD-INT,22-32-249-1-0,34-46-336-2-1
Sacked-Yards,4-21,1-16
Net Pass Yards,228,320
Total Yards,391,407
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,11-81,9-80
Third Down Conv.,4-12,4-13
Fourth Down Conv.,0-0,2-2
Time of Possession,31:44,28:16
