Quarter,Time,Tm,Detail,NYG,WAS
1.0,7:35,Giants,Daniel Jones 6 yard rush (Graham Gano kick),7,0
2.0,11:16,Football Team,Terry McLaurin 11 yard pass from Taylor Heinicke (Dustin Hopkins kick),7,7
,4:09,Giants,Graham Gano 23 yard field goal,10,7
,0:21,Football Team,J.D. McKissic 2 yard rush (Dustin Hopkins kick),10,14
3.0,9:07,Giants,Graham Gano 47 yard field goal,13,14
,4:41,Giants,Darius Slayton 33 yard pass from Daniel Jones (Graham Gano kick),20,14
,1:30,Football Team,Dustin Hopkins 49 yard field goal,20,17
4.0,13:35,Giants,Graham Gano 52 yard field goal,23,17
,8:46,Football Team,Dustin Hopkins 37 yard field goal,23,20
,4:50,Giants,Graham Gano 55 yard field goal,26,20
,4:33,Football Team,Ricky Seals-Jones 19 yard pass from Taylor Heinicke (Dustin Hopkins kick),26,27
,2:00,Giants,Graham Gano 35 yard field goal,29,27
,0:00,Football Team,Dustin Hopkins 43 yard field goal,29,30
