Unnamed: 0,ATL,LAR
First Downs,17,24
Rush-Yds-TDs,27-90-0,26-65-1
Cmp-Att-Yd-TD-INT,17-26-196-2-2,27-36-272-3-2
Sacked-Yards,3-25,1-0
Net Pass Yards,171,272
Total Yards,261,337
Fumbles-Lost,2-1,1-1
Turnovers,3,3
Penalties-Yards,5-29,3-61
Third Down Conv.,3-10,6-10
Fourth Down Conv.,1-2,0-1
Time of Possession,29:36,30:24
