Unnamed: 0,CAR,TAM
First Downs,19,17
Rush-Yds-TDs,33-113-0,17-102-0
Cmp-Att-Yd-TD-INT,24-34-230-2-0,22-35-183-2-2
Sacked-Yards,1-9,3-21
Net Pass Yards,221,162
Total Yards,334,264
Fumbles-Lost,1-0,3-1
Turnovers,0,3
Penalties-Yards,6-55,3-15
Third Down Conv.,6-15,6-12
Fourth Down Conv.,1-1,0-0
Time of Possession,35:12,24:48
