Unnamed: 0,TEN,CAR
First Downs,22,16
Rush-Yds-TDs,35-172-1,19-113-0
Cmp-Att-Yd-TD-INT,15-27-219-1-1,23-40-212-0-1
Sacked-Yards,1-8,5-46
Net Pass Yards,211,166
Total Yards,383,279
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,9-92,12-99
Third Down Conv.,3-13,3-14
Fourth Down Conv.,0-0,0-0
Time of Possession,32:36,27:24
