Quarter,Time,Tm,Detail,DEN,BUF
1.0,1:10,Bills,Stephen Hauschka 39 yard field goal,0,3
2.0,8:09,Bills,Stephen Hauschka 23 yard field goal,0,6
3.0,12:57,Bills,Cole Beasley 18 yard pass from Josh Allen (Stephen Hauschka kick),0,13
,7:40,Broncos,Brandon McManus 45 yard field goal,3,13
4.0,11:08,Bills,John Brown 34 yard pass from Josh Allen (Stephen Hauschka kick),3,20
