Unnamed: 0,DEN,BUF
First Downs,9,22
Rush-Yds-TDs,17-85-0,47-244-0
Cmp-Att-Yd-TD-INT,10-25-82-0-1,15-25-185-2-1
Sacked-Yards,4-33,1-5
Net Pass Yards,49,180
Total Yards,134,424
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,7-70,12-90
Third Down Conv.,2-11,8-16
Fourth Down Conv.,0-0,0-0
Time of Possession,24:56,35:04
