Quarter,Time,Tm,Detail,SEA,CAR
1.0,10:26,Seahawks,Chris Carson 16 yard rush (Jason Myers kick failed),6,0
,5:22,Seahawks,D.K. Metcalf 19 yard pass from Russell Wilson (Jason Myers kick),13,0
2.0,13:43,Panthers,Christian McCaffrey 1 yard rush (Joey Slye kick),13,7
,10:09,Seahawks,Tyler Lockett 19 yard pass from Russell Wilson (Jason Myers kick),20,7
3.0,11:35,Panthers,Joey Slye 52 yard field goal,20,10
,0:28,Seahawks,Jason Myers 30 yard field goal,23,10
4.0,7:18,Seahawks,Chris Carson 6 yard rush (Jason Myers kick),30,10
,4:53,Panthers,Christian McCaffrey 15 yard rush (Joey Slye kick),30,17
,3:14,Panthers,Curtis Samuel 5 yard pass from Kyle Allen (Joey Slye kick),30,24
