Quarter,Time,Tm,Detail,SEA,ARI
1.0,1:27,Cardinals,Neil Rackers 28 yard field goal,0,3
2.0,14:07,Cardinals,Leonard Pope 30 yard pass from Matt Leinart (Neil Rackers kick),0,10
,5:43,Cardinals,Edgerrin James 17 yard rush (Neil Rackers kick),0,17
,1:16,Seahawks,Nate Burleson 24 yard pass from Matt Hasselbeck (Josh Brown kick),7,17
3.0,8:42,Seahawks,Shaun Alexander 16 yard rush (Josh Brown kick),14,17
,3:34,Seahawks,Josh Brown 28 yard field goal,17,17
4.0,9:52,Seahawks,Josh Brown 28 yard field goal,20,17
,4:44,Cardinals,Neil Rackers 52 yard field goal,20,20
,0:01,Cardinals,Neil Rackers 42 yard field goal,20,23
