Unnamed: 0,SEA,ARI
First Downs,18,20
Rush-Yds-TDs,24-84-1,26-132-1
Cmp-Att-Yd-TD-INT,22-36-281-1-0,23-37-299-1-1
Sacked-Yards,1-3,0-0
Net Pass Yards,278,299
Total Yards,362,431
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,4-25,7-55
Third Down Conv.,4-13,6-12
Fourth Down Conv.,1-1,0-0
Time of Possession,27:54,32:06
