Unnamed: 0,SFO,STL
First Downs,8,20
Rush-Yds-TDs,28-89-2,23-61-0
Cmp-Att-Yd-TD-INT,11-17-126-0-0,24-41-368-1-0
Sacked-Yards,4-29,6-37
Net Pass Yards,97,331
Total Yards,186,392
Fumbles-Lost,2-2,3-3
Turnovers,2,3
Penalties-Yards,3-21,4-34
Third Down Conv.,3-13,5-14
Fourth Down Conv.,1-1,0-1
Time of Possession,28:11,31:49
