Unnamed: 0,NYG,TEN
First Downs,18,20
Rush-Yds-TDs,36-144-2,25-108-1
Cmp-Att-Yd-TD-INT,18-28-143-1-2,24-35-249-2-0
Sacked-Yards,0-0,2-14
Net Pass Yards,143,235
Total Yards,287,343
Fumbles-Lost,0-0,2-2
Turnovers,2,2
Penalties-Yards,5-43,3-30
Third Down Conv.,8-15,3-10
Fourth Down Conv.,1-2,1-3
Time of Possession,33:37,26:23
