Quarter,Time,Down,ToGo,Location,NYG,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,NYG 30,0,0,"Jay Feely kicks off 70 yards, returned by Bobby Wade for 26 yards (tackle by Tyson Smith)",0.000,0.670
1,14:54,1,10,TEN 26,0,0,Vince Young pass complete short right to Bobby Wade for 6 yards (tackle by Antonio Pierce and Will Demps),0.670,0.940
1,14:16,2,4,TEN 32,0,0,Travis Henry left end for 1 yard (tackle by R.W. McQuarters),0.940,0.370
1,13:50,3,3,TEN 33,0,0,Vince Young pass complete short right to Brandon Jones for 8 yards (tackle by R.W. McQuarters),0.370,1.660
1,13:19,1,10,TEN 41,0,0,Vince Young pass incomplete short right intended for Drew Bennett,1.660,1.120
1,13:14,2,10,TEN 41,0,0,Travis Henry middle for no gain (tackle by Reggie Torbor and Antonio Pierce),1.120,0.430
1,12:36,3,10,TEN 41,0,0,Vince Young middle for 7 yards (tackle by Gibril Wilson and Frank Walker),0.430,-0.190
1,11:56,4,3,TEN 48,0,0,"Craig Hentrich punts 52 yards, touchback",-0.190,-0.280
1,11:49,1,10,NYG 20,0,0,Eli Manning pass incomplete short right intended for Jim Finn,0.280,-0.270
1,11:45,2,10,NYG 20,0,0,Tiki Barber right tackle for -1 yards (tackle by Robaire Smith),-0.270,-1.140
1,11:06,3,11,NYG 19,0,0,Eli Manning pass incomplete deep right intended for Tim Carter,-1.140,-2.140
1,10:59,4,11,NYG 19,0,0,"Jeff Feagles punts 41 yards, out of bounds",-2.140,-1.600
1,10:51,1,10,TEN 40,0,0,Vince Young pass complete short right to Brandon Jones for 9 yards (tackle by Frank Walker),1.600,2.270
1,10:09,2,1,TEN 49,0,0,"Travis Henry middle for 1 yard (tackle by Reggie Torbor). Travis Henry fumbles (forced by Reggie Torbor), recovered by Gibril Wilson at NYG-48",2.270,-2.130
1,10:02,1,10,NYG 48,0,0,Tiki Barber right end for -1 yards (tackle by Robaire Smith),2.130,1.450
1,9:23,2,11,NYG 47,0,0,"Penalty on Kyle Vanden Bosch: Encroachment, 5 yards (no play)",1.450,2.120
1,9:09,2,6,TEN 48,0,0,Tiki Barber left guard for 3 yards (tackle by Stephen Tulloch),2.120,1.820
1,8:27,3,3,TEN 45,0,0,Eli Manning pass complete short left to Jeremy Shockey for 7 yards (tackle by Peter Sirmon and Stephen Tulloch),1.820,3.050
1,7:47,1,10,TEN 38,0,0,Eli Manning pass complete deep left to Plaxico Burress for 20 yards (tackle by Reynaldo Hill),3.050,4.370
1,7:08,1,10,TEN 18,0,0,Tiki Barber right tackle for 5 yards (tackle by Sean Conover and Kyle Vanden Bosch),4.370,4.610
1,6:31,2,5,TEN 13,0,0,Tiki Barber left guard for 7 yards (tackle by Chris Hope),4.610,5.830
1,5:52,1,6,TEN 6,0,0,Tiki Barber left guard for 5 yards (tackle by Lamont Thompson and Sean Conover),5.830,5.910
1,5:10,2,1,TEN 1,0,0,Brandon Jacobs middle for -2 yards (tackle by Ken Amato and Randy Starks),5.910,4.720
1,4:26,3,3,TEN 3,6,0,"Eli Manning pass complete short middle to Plaxico Burress for 3 yards, touchdown",4.720,7.000
1,4:26,,,TEN 2,7,0,Jay Feely kicks extra point good,0.000,0.000
1,4:22,,,NYG 30,7,0,"Jay Feely kicks off 68 yards, returned by Bobby Wade for 24 yards (tackle by Chase Blackburn)",0.000,0.670
1,4:14,1,10,TEN 26,7,0,Travis Henry right tackle for no gain (tackle by Barry Cofield),0.670,0.130
1,3:38,2,10,TEN 26,7,0,Vince Young sacked by Antonio Pierce for -5 yards,0.130,-1.220
1,3:07,3,15,TEN 21,7,0,Vince Young pass complete short middle to Travis Henry for 7 yards (tackle by Jason Bell and Will Demps),-1.220,-1.500
1,2:23,4,8,TEN 28,7,0,"Craig Hentrich punts 53 yards, returned by Chad Morton for 5 yards (tackle by Colby Bockwoldt)",-1.500,-0.540
1,2:12,1,10,NYG 24,7,0,Eli Manning pass complete short right to Jeremy Shockey for 8 yards (tackle by Chris Hope),0.540,1.080
1,2:12,2,2,NYG 32,7,0,Eli Manning pass incomplete short left intended for Plaxico Burress,1.080,0.370
1,1:30,3,2,NYG 32,7,0,Eli Manning pass complete short middle to Plaxico Burress for 10 yards (tackle by Lamont Thompson),0.370,1.730
1,0:54,1,10,NYG 42,7,0,Tiki Barber left guard for 4 yards (tackle by Sean Conover and Keith Bulluck),1.730,1.730
1,0:14,2,6,NYG 46,7,0,Tiki Barber left tackle for 4 yards (tackle by Stephen Tulloch and Peter Sirmon),1.730,1.550
Quarter,Time,Down,ToGo,Location,NYG,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,TEN 50,7,0,Brandon Jacobs left end for 14 yards (tackle by Reynaldo Hill),1.550,3.180
2,14:31,1,10,TEN 36,7,0,Eli Manning pass complete short right to Jeremy Shockey for 10 yards (tackle by Adam Jones),3.180,3.840
2,13:51,1,10,TEN 26,7,0,Tiki Barber right guard for 4 yards (tackle by Kyle Vanden Bosch and Chris Hope),3.840,3.840
2,13:16,2,6,TEN 22,7,0,Eli Manning pass complete short right to Tiki Barber for 12 yards (tackle by Keith Bulluck),3.840,4.910
2,12:28,1,10,TEN 10,13,0,"Brandon Jacobs right end for 10 yards, touchdown",4.910,7.000
2,12:28,,,TEN 2,14,0,Jay Feely kicks extra point good,0.000,0.000
2,12:22,,,NYG 30,14,0,"Jay Feely kicks off 59 yards, returned by Bo Scaife for 17 yards (tackle by Tyson Smith)",0.000,0.810
2,12:14,1,10,TEN 28,14,0,"Vince Young for no gain. Vince Young fumbles, recovered by Fred Robbins at TEN-29",0.810,-3.640
2,12:07,1,10,TEN 29,14,0,Tiki Barber for 8 yards (tackle by Chris Hope),3.640,4.180
2,11:39,2,2,TEN 21,14,0,Tiki Barber middle for 1 yard (tackle by Stephen Tulloch),4.180,3.600
2,11:00,3,1,TEN 20,14,0,Brandon Jacobs right guard for 7 yards (tackle by Kyle Vanden Bosch and Lamont Thompson),3.600,4.710
2,10:18,1,10,TEN 13,14,0,Eli Manning pass complete short right to Tiki Barber for 2 yards (tackle by Adam Jones),4.710,4.390
2,9:38,2,8,TEN 11,14,0,Tiki Barber right tackle for no gain (tackle by Stephen Tulloch),4.390,3.450
2,8:56,3,8,TEN 11,14,0,Eli Manning pass complete short middle to David Tyree for 7 yards (tackle by David Thornton),3.450,3.040
2,8:09,4,1,TEN 4,20,0,"Brandon Jacobs middle for 4 yards, touchdown",3.040,7.000
2,8:09,,,TEN 2,21,0,Jay Feely kicks extra point good,0.000,0.000
2,8:05,,,NYG 30,21,0,"Jay Feely kicks off 67 yards, returned by Bobby Wade for 28 yards (tackle by Jason Bell)",0.000,1.000
2,7:56,1,10,TEN 31,21,0,Vince Young pass complete short right to Ahmard Hall for 9 yards (tackle by Antonio Pierce),1.000,1.680
2,7:20,2,1,TEN 40,21,0,Ahmard Hall middle for 4 yards (tackle by Mathias Kiwanuka and Will Demps),1.680,1.860
2,6:44,1,10,TEN 44,21,0,Travis Henry middle for 4 yards (tackle by R.W. McQuarters),1.860,1.860
2,6:08,2,6,TEN 48,21,0,Travis Henry right tackle for -1 yards (tackle by Fred Robbins and Barry Cofield),1.860,1.030
2,5:27,3,7,TEN 47,21,0,Vince Young pass complete deep middle to Bobby Wade for 23 yards (tackle by Jason Bell and Antonio Pierce),1.030,3.580
2,4:39,1,10,NYG 30,21,0,Vince Young pass complete short right to Drew Bennett for 3 yards,3.580,3.440
2,4:15,2,7,NYG 27,21,0,Adam Jones left end for 7 yards (tackle by Carlos Emmons),3.440,4.240
2,3:29,1,10,NYG 20,21,0,Travis Henry right guard for 14 yards (tackle by Gibril Wilson and Will Demps),4.240,5.830
2,2:44,1,6,NYG 6,21,0,Travis Henry right end for -2 yards (tackle by Frank Walker),5.830,4.570
2,2:00,2,8,NYG 8,21,0,Vince Young pass incomplete short right intended for Ahmard Hall,4.570,3.580
2,1:56,3,8,NYG 8,21,0,Vince Young pass complete short left to Ahmard Hall for 6 yards (tackle by R.W. McQuarters and Gibril Wilson),3.580,3.250
2,1:14,4,2,NYG 2,21,0,Vince Young right tackle for 1 yard (tackle by Antonio Pierce and Carlos Emmons),3.250,0.380
2,1:06,1,10,NYG 1,21,0,Eli Manning middle for 1 yard (tackle by Albert Haynesworth),-0.380,-0.710
2,1:04,,,,21,0,Timeout #1 by Tennessee Titans,0.000,-0.710
2,1:04,2,9,NYG 2,21,0,Tiki Barber left end for 5 yards (tackle by Lamont Thompson and Reynaldo Hill),-0.710,-0.720
2,0:58,,,,21,0,Timeout #2 by Tennessee Titans,0.000,-0.720
2,0:58,3,4,NYG 7,21,0,Tiki Barber left end for 1 yard (tackle by Peter Sirmon and Sean Conover),-0.720,-2.490
2,0:53,,,,21,0,Timeout #3 by Tennessee Titans,0.000,-2.490
2,0:49,4,3,NYG 8,21,0,"Jeff Feagles punts 48 yards, returned by Adam Jones for 2 yards (tackle by David Tyree)",-2.490,-1.990
2,0:38,1,10,TEN 46,21,0,Vince Young middle for 13 yards (tackle by Will Demps and Gibril Wilson),1.990,2.850
