Quarter,Time,Tm,Detail,NYG,TEN
1.0,4:22,Giants,Plaxico Burress 3 yard pass from Eli Manning (Jay Feely kick),7,0
2.0,12:22,Giants,Brandon Jacobs 10 yard rush (Jay Feely kick),14,0
,8:05,Giants,Brandon Jacobs 4 yard rush (Jay Feely kick),21,0
4.0,9:35,Titans,Bo Scaife 4 yard pass from Vince Young (Rob Bironas kick),21,7
,5:24,Titans,Vince Young 1 yard rush (Rob Bironas kick),21,14
,0:44,Titans,Brandon Jones 14 yard pass from Vince Young (Rob Bironas kick),21,21
,0:06,Titans,Rob Bironas 49 yard field goal,21,24
