Unnamed: 0,NWE,BUF
First Downs,23,28
Rush-Yds-TDs,36-159-2,13-65-0
Cmp-Att-Yd-TD-INT,22-26-265-3-0,28-45-302-1-1
Sacked-Yards,1-2,4-36
Net Pass Yards,263,266
Total Yards,422,331
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,8-59,5-59
Third Down Conv.,8-12,4-11
Fourth Down Conv.,1-2,1-1
Time of Possession,34:18,25:42
