Quarter,Time,Down,ToGo,Location,NWE,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Mike Hollis kicks off 58 yards, returned by Deion Branch for 20 yards (tackle by Charles Johnson)",0.000,1.070
1,14:55,1,10,NWE 32,0,0,Antowain Smith left tackle for 5 yards (tackle by London Fletcher and Coy Wire),1.070,1.200
1,14:20,2,5,NWE 37,0,0,Tom Brady pass complete to Antowain Smith for -5 yards (tackle by Keith Newman and Coy Wire),1.200,-0.160
1,13:36,3,10,NWE 32,0,0,Tom Brady pass complete to Kevin Faulk for 19 yards (tackle by Coy Wire),-0.160,2.320
1,13:10,1,10,BUF 49,0,0,Tom Brady pass complete to David Patten for 6 yards (tackle by Chris Watson and London Fletcher),2.320,2.590
1,12:34,2,4,BUF 43,0,0,Tom Brady pass complete to Troy Brown for 14 yards (tackle by Pierson Prioleau),2.590,3.640
1,11:52,1,10,BUF 29,0,0,Tom Brady pass complete to Daniel Graham for 22 yards (tackle by Eddie Robinson),3.640,5.600
1,11:09,1,7,BUF 7,0,0,Antowain Smith middle for 2 yards (tackle by Keith Newman and Ron Edwards),5.600,5.150
1,10:32,2,5,BUF 5,6,0,"Tom Brady pass complete to Christian Fauria for 5 yards, touchdown",5.150,7.000
1,10:32,,,BUF 5,7,0,Adam Vinatieri kicks extra point good,0.000,0.000
1,10:32,,,NWE 30,7,0,"Adam Vinatieri kicks off 56 yards, returned by Charlie Rogers for 24 yards (tackle by Antwan Harris)",0.000,1.470
1,10:20,1,10,BUF 38,7,0,Drew Bledsoe pass complete to Larry Centers for 14 yards (tackle by Ted Johnson and Tebucky Jones),1.470,2.390
1,9:34,1,10,NWE 48,7,0,Travis Henry right tackle for 22 yards (tackle by Lawyer Milloy),2.390,3.840
1,9:13,1,10,NWE 26,7,0,Travis Henry right guard for 1 yard (tackle by Willie McGinest),3.840,3.430
1,8:36,2,9,NWE 25,7,0,Drew Bledsoe pass complete to Travis Henry for 7 yards (tackle by Ted Johnson),3.430,3.750
1,8:03,3,2,NWE 18,7,0,Drew Bledsoe sacked by Ted Johnson and Willie McGinest for -14 yards,3.750,1.240
1,7:44,4,16,NWE 32,7,0,Mike Hollis 50 yard field goal no good,1.240,-1.600
1,7:40,1,10,NWE 40,7,0,Antowain Smith left guard for 6 yards (tackle by Coy Wire),1.600,1.860
1,7:05,2,4,NWE 46,7,0,Antowain Smith middle for 3 yards (tackle by London Fletcher and Aaron Schobel),1.860,1.550
1,6:30,3,1,NWE 49,7,0,Marc Edwards middle for no gain (tackle by Coy Wire and Pat Williams),1.550,-0.130
1,5:49,4,1,NWE 49,7,0,"Penalty on Matt Light: False Start, 4 yards (no play)",-0.130,-0.390
1,5:38,4,5,NWE 45,7,0,"Ken Walter punts 36 yards, fair catch by Charlie Rogers",-0.390,-0.150
1,5:28,1,10,BUF 19,7,0,Travis Henry left tackle for 10 yards (tackle by Mike Vrabel and Victor Green),0.150,0.870
1,4:50,1,10,BUF 29,7,0,Drew Bledsoe pass complete to Travis Henry for 5 yards (tackle by Roman Phifer),0.870,1.000
1,4:07,2,5,BUF 34,7,0,Travis Henry middle for 4 yards (tackle by Tedy Bruschi and Roman Phifer),1.000,0.830
1,3:34,3,1,BUF 38,7,0,Travis Henry right guard for -1 yards (tackle by Ted Johnson),0.830,-0.910
1,2:55,4,2,BUF 37,7,0,"Brian Moorman punts 38 yards, returned by Deion Branch for 18 yards (tackle by Larry Centers)",-0.910,-1.800
1,2:43,1,10,NWE 43,7,0,Tom Brady pass complete to David Patten for 17 yards (tackle by Eddie Robinson),1.800,2.920
1,2:04,1,10,BUF 40,7,0,Antowain Smith middle for 6 yards (tackle by London Fletcher),2.920,3.180
1,1:20,2,4,BUF 34,7,0,Tom Brady pass complete to Christian Fauria for 3 yards (tackle by Coy Wire),3.180,2.870
1,0:40,3,1,BUF 31,7,0,Antowain Smith middle for 1 yard (tackle by Chidi Ahanotu),2.870,3.580
Quarter,Time,Down,ToGo,Location,NWE,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BUF 30,7,0,Tom Brady pass complete to Daniel Graham for 15 yards (tackle by Coy Wire and Nate Clements),3.580,4.580
2,14:18,1,10,BUF 15,7,0,Antowain Smith right guard for -1 yards (tackle by Chris Watson and Pierson Prioleau),4.580,3.810
2,13:41,2,11,BUF 16,7,0,Antowain Smith middle for 3 yards (tackle by London Fletcher and Ron Edwards),3.810,3.400
2,13:03,3,8,BUF 13,13,0,"Tom Brady pass complete to Antowain Smith for 13 yards, touchdown",3.400,7.000
2,13:03,,,BUF 13,14,0,Adam Vinatieri kicks extra point good,0.000,0.000
2,13:03,,,NWE 30,14,0,"Adam Vinatieri kicks off 56 yards, returned by Charlie Rogers for 15 yards (tackle by Daniel Graham)",0.000,0.870
2,12:46,1,10,BUF 29,14,0,Drew Bledsoe pass complete to Peerless Price for 16 yards (tackle by Tebucky Jones),0.870,1.930
2,12:09,1,10,BUF 45,14,0,"Penalty on Trey Teague: False Start, 5 yards (no play)",1.930,1.600
2,11:52,1,15,BUF 40,14,0,Drew Bledsoe sacked by Richard Seymour for -8 yards,1.600,-0.370
2,11:18,2,23,BUF 32,14,0,Drew Bledsoe pass complete to Josh Reed for 3 yards (tackle by Lawyer Milloy and Tebucky Jones),-0.370,-0.630
2,10:31,3,20,BUF 35,14,0,Drew Bledsoe pass complete to Eric Moulds for 22 yards (tackle by Lawyer Milloy and Ty Law),-0.630,2.720
2,9:49,1,10,NWE 43,14,0,Drew Bledsoe pass complete to Peerless Price for 20 yards (tackle by Lawyer Milloy and Ted Johnson),2.720,4.040
2,9:07,1,10,NWE 23,14,0,"Travis Henry middle for 10 yards (tackle by Tebucky Jones and Willie McGinest). Penalty on Terrell Buckley: Unnecessary Roughness, 7 yards",4.040,5.830
2,8:43,1,6,NWE 6,14,0,Travis Henry right guard for -1 yards (tackle by Willie McGinest),5.830,4.760
2,7:57,2,7,NWE 7,14,0,Drew Bledsoe pass incomplete intended for Jay Riemersma,4.760,3.810
2,7:45,3,7,NWE 7,14,0,Drew Bledsoe pass incomplete intended for Josh Reed,3.810,2.970
2,7:39,4,7,NWE 7,14,0,Mike Hollis 25 yard field goal no good,2.970,-0.280
2,7:37,1,10,NWE 20,14,0,Deion Branch left end for -4 yards (tackle by Aaron Schobel and Ron Edwards),0.280,-0.940
2,6:54,2,14,NWE 16,14,0,Tom Brady pass incomplete intended for Antowain Smith,-0.940,-1.690
2,6:48,3,14,NWE 16,14,0,"Tom Brady pass incomplete intended for David Givens. Penalty on Chris Watson: Defensive Pass Interference, 24 yards (no play)",-1.690,1.600
2,6:41,1,10,NWE 40,14,0,Tom Brady pass incomplete intended for Deion Branch,1.600,1.050
2,6:38,2,10,NWE 40,14,0,Antowain Smith right tackle for 9 yards (tackle by Chris Watson and Ahmad Brooks),1.050,1.550
2,6:01,3,1,NWE 49,14,0,Antowain Smith middle for 17 yards (tackle by Pierson Prioleau),1.550,3.310
2,5:17,1,10,BUF 34,14,0,Kevin Faulk middle for -1 yards (tackle by Aaron Schobel),3.310,2.640
2,4:40,2,11,BUF 35,14,0,Kevin Faulk right tackle for 7 yards (tackle by Ahmad Brooks and Billy Jenkins),2.640,2.870
2,4:01,3,4,BUF 28,14,0,Tom Brady pass incomplete intended for Troy Brown,2.870,1.650
2,3:54,4,4,BUF 28,17,0,Adam Vinatieri 46 yard field goal good,1.650,3.000
2,3:54,,,NWE 30,17,0,"Adam Vinatieri kicks off 63 yards, returned by Charlie Rogers for 36 yards (tackle by Victor Green). Penalty on Anthony Denman: Offensive Holding, 10 yards",0.000,0.280
2,3:42,1,10,BUF 20,17,0,Drew Bledsoe pass complete to Larry Centers for 9 yards (tackle by Terrell Buckley),0.280,0.950
2,3:18,2,1,BUF 29,17,0,Travis Henry middle for 1 yard (tackle by Richard Seymour),0.950,0.940
2,2:39,2,1,BUF 29,,,Timeout #1 by New England Patriots,0.950,0.940
2,2:39,1,10,BUF 30,17,0,Drew Bledsoe pass incomplete intended for Eric Moulds,0.940,0.390
2,2:34,2,10,BUF 30,17,0,Drew Bledsoe pass incomplete intended for Peerless Price (defended by Ty Law),0.390,-0.300
2,2:29,3,10,BUF 30,17,0,Drew Bledsoe pass complete to Eric Moulds for 9 yards (tackle by Ty Law),-0.300,-0.780
2,2:01,3,10,BUF 30,,,Timeout #2 by New England Patriots,-0.300,-0.780
2,2:01,4,1,BUF 39,17,0,Drew Bledsoe middle for 2 yards (tackle by Anthony Pleasant),-0.780,1.660
2,1:58,1,10,BUF 41,17,0,"Drew Bledsoe sacked by Willie McGinest for -8 yards. Penalty on Willie McGinest: Roughing the Passer, 15 yards",1.660,2.130
2,1:49,1,10,BUF 48,17,0,Drew Bledsoe pass complete to Larry Centers for 17 yards (tackle by Ty Law and Victor Green),2.130,3.250
2,1:39,1,10,BUF 48,,,Timeout #1 by Buffalo Bills,2.130,3.250
2,1:39,1,10,NWE 35,17,0,Drew Bledsoe sacked by Mike Vrabel for -6 yards,3.250,1.890
2,1:10,2,16,NWE 41,17,0,Drew Bledsoe pass incomplete intended for Larry Centers,1.890,1.220
2,1:04,3,16,NWE 41,17,0,Drew Bledsoe pass complete to Josh Reed for 21 yards (tackle by Tebucky Jones and Victor Green),1.220,4.240
2,0:47,3,16,NWE 41,,,Timeout #2 by Buffalo Bills,1.220,4.240
2,0:47,1,10,NWE 20,17,0,Drew Bledsoe pass incomplete intended for Larry Centers,4.240,3.690
