Quarter,Time,Down,ToGo,Location,ATL,LAC,Detail,EPB,EPA
2,11:21,1,10,LAC 18,7,7,Matt Ryan pass incomplete short left intended for Hayden Hurst,4.370,3.800
2,11:16,2,10,LAC 18,7,7,Ito Smith up the middle for no gain (tackle by Linval Joseph and Nick Vigil),3.800,3.050
2,10:33,3,10,LAC 18,7,7,Matt Ryan sacked by Uchenna Nwosu for -9 yards,3.050,1.670
2,9:52,4,19,LAC 27,10,7,Younghoe Koo 45 yard field goal good,1.670,3.000
2,9:47,,,ATL 35,10,7,"Younghoe Koo kicks off 64 yards, returned by Nasir Adderley for 76 yards (tackle by Jaylinn Hawkins)",0.000,4.040
2,9:36,1,10,ATL 23,10,7,Justin Herbert pass complete short right to Austin Ekeler for 3 yards (tackle by Foyesade Oluokun and Tyeler Davison),4.040,3.900
2,8:59,2,7,ATL 20,10,7,Austin Ekeler left end for 3 yards (tackle by Grady Jarrett),3.900,3.660
2,8:19,3,4,ATL 17,10,7,Justin Herbert pass incomplete short left intended for Hunter Henry,3.660,2.390
2,8:17,4,4,ATL 17,10,10,Michael Badgley 35 yard field goal good,2.390,3.000
2,8:13,,,LAC 35,10,10,"Ty Long kicks off 62 yards, returned by Brandon Powell for 22 yards (tackle by Alohi Gilman)",0.000,0.610
2,8:08,1,10,ATL 25,10,10,Matt Ryan pass complete deep right to Calvin Ridley for 32 yards (tackle by Casey Hayward),0.610,2.720
2,7:43,1,10,LAC 43,10,10,Matt Ryan pass incomplete short left intended for Keith Smith (defended by Casey Hayward),2.720,2.180
2,7:39,2,10,LAC 43,10,10,Ito Smith left end for 3 yards (tackle by Jerry Tillery),2.180,1.880
2,7:00,3,7,LAC 40,10,10,Matt Ryan pass complete short left to Calvin Ridley for 19 yards (tackle by Nasir Adderley),1.880,4.170
2,6:54,1,10,LAC 21,10,10,Ito Smith up the middle for 8 yards (tackle by Kenneth Murray),4.170,4.950
2,6:13,2,2,LAC 13,10,10,Todd Gurley up the middle for 1 yard (tackle by Joey Bosa and Cortez Broughton),4.950,4.490
2,5:30,3,1,LAC 12,10,10,Keith Smith up the middle for 3 yards (tackle by Rayshawn Jenkins),4.490,5.140
2,4:56,1,9,LAC 9,16,10,"Matt Ryan pass complete short left to Laquon Treadwell for 9 yards, touchdown",5.140,7.000
2,4:51,,,LAC 15,17,10,Younghoe Koo kicks extra point good,0.000,0.000
2,4:51,,,ATL 35,17,10,"Younghoe Koo kicks off 65 yards, touchback.",0.000,0.610
2,4:51,1,10,LAC 25,17,10,Justin Jackson left end for 5 yards (tackle by Foyesade Oluokun),0.610,0.740
2,4:26,2,5,LAC 30,17,10,Justin Herbert pass complete short middle to Hunter Henry for 4 yards (tackle by Darqueze Dennard),0.740,0.560
2,3:53,3,1,LAC 34,17,10,Gabe Nabers up the middle for 3 yards (tackle by Mykal Walker),0.560,1.400
2,3:18,1,10,LAC 37,17,10,Justin Herbert pass incomplete deep right intended for Jalen Guyton,1.400,0.860
2,3:13,2,10,LAC 37,17,10,Justin Herbert pass complete short left to Austin Ekeler for 5 yards (tackle by Foyesade Oluokun and Dante Fowler),0.860,0.830
2,2:26,3,5,LAC 42,17,10,Justin Herbert pass complete short left to Keenan Allen for 7 yards (tackle by Sharrod Neasman),0.830,2.190
2,2:00,1,10,LAC 49,17,10,Justin Herbert pass complete short right to Justin Jackson for 9 yards (tackle by AJ Terrell),2.190,2.860
2,1:53,2,1,ATL 42,17,10,Justin Jackson up the middle for 2 yards (tackle by John Cominsky and Isaiah Oliver),2.860,2.920
2,1:27,1,10,ATL 40,17,10,Justin Herbert pass incomplete deep middle intended for Hunter Henry,2.920,2.370
2,1:25,,,,,,Timeout #1 by Los Angeles Chargers,,
2,1:25,2,10,ATL 40,17,10,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by AJ Terrell),2.370,2.740
2,1:08,3,2,ATL 32,17,10,Justin Herbert pass complete short right to Keenan Allen for 4 yards (tackle by AJ Terrell),2.740,3.710
2,1:02,1,10,ATL 28,17,10,Justin Herbert pass complete short middle to Tyron Johnson for 1 yard (tackle by AJ Terrell),3.710,3.300
2,0:57,,,,,,Timeout #1 by Atlanta Falcons,,
2,0:56,2,9,ATL 27,17,10,Austin Ekeler up the middle for 10 yards (tackle by Sharrod Neasman),3.300,4.440
2,0:36,1,10,ATL 17,17,10,Justin Herbert pass complete short right to Hunter Henry for 5 yards (tackle by Foyesade Oluokun),4.440,4.690
2,0:30,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:30,2,5,ATL 12,17,10,Justin Herbert pass complete short right to Austin Ekeler for 4 yards (tackle by AJ Terrell),4.690,4.800
2,0:22,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:22,3,1,ATL 8,17,10,Kalen Ballage up the middle for no gain (tackle by Grady Jarrett and Foyesade Oluokun),4.800,2.990
2,0:01,4,1,ATL 8,17,10,"Penalty on LAC: Illegal Shift, 5 yards (no play)",2.990,-0.220
Quarter,Time,Down,ToGo,Location,ATL,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,17,10,"Younghoe Koo kicks off 55 yards, returned by Nasir Adderley for 14 yards (tackle by Keith Smith and LaRoy Reynolds)",0.000,0.540
3,14:53,1,10,LAC 24,17,10,Austin Ekeler up the middle for -2 yards (tackle by Tyeler Davison),0.540,-0.270
3,14:19,2,12,LAC 22,17,10,Justin Herbert pass incomplete deep right intended for Tyron Johnson,-0.270,-0.960
3,14:10,3,12,LAC 22,17,10,Justin Herbert pass incomplete short right intended for Jalen Guyton (defended by AJ Terrell),-0.960,-1.900
3,14:03,4,12,LAC 22,17,10,"Ty Long punts 52 yards, returned by Brandon Powell for 6 yards (tackle by Rayshawn Jenkins). Penalty on Kendall Sheffield: Illegal Block Above the Waist, 10 yards",-1.900,-0.410
3,13:53,1,10,ATL 22,17,10,Matt Ryan pass complete short left to Keith Smith for -2 yards (tackle by Nick Vigil),0.410,-0.400
3,13:11,2,12,ATL 20,17,10,Matt Ryan sacked by Justin Jones for -5 yards,-0.400,-2.050
3,12:30,3,17,ATL 15,17,10,Matt Ryan pass complete deep middle to Russell Gage for 22 yards (tackle by Kenneth Murray),-2.050,1.400
3,11:52,,,,,,Timeout #1 by Atlanta Falcons,,
3,11:52,1,10,ATL 37,17,10,Todd Gurley left end for 1 yard (tackle by Jahleel Addae),1.400,0.990
3,11:14,2,9,ATL 38,17,10,Matt Ryan pass complete short left to Russell Gage for 4 yards (tackle by Kenneth Murray),0.990,0.830
3,10:40,3,5,ATL 42,17,10,"Matt Ryan pass incomplete short left intended for Brandon Powell (defended by Chris Harris). Penalty on Michael Davis: Defensive Holding, 5 yards (no play)",0.830,2.060
3,10:35,1,10,ATL 47,17,10,Matt Ryan pass complete short right to Calvin Ridley for 7 yards (tackle by Casey Hayward),2.060,2.460
3,10:02,2,3,LAC 46,17,10,Brian Hill right end for 3 yards (tackle by Kyzir White and Kenneth Murray),2.460,2.720
3,9:39,1,10,LAC 43,17,10,Matt Ryan pass deep left intended for Calvin Ridley is intercepted by Rayshawn Jenkins at LAC-0 and returned for no gain,2.720,-0.280
3,9:31,1,10,LAC 20,17,10,Justin Herbert pass complete short right to Austin Ekeler for 12 yards (tackle by Deion Jones and John Cominsky),0.280,1.070
3,8:52,1,10,LAC 32,17,10,Austin Ekeler left end for 2 yards (tackle by Darqueze Dennard),1.070,0.800
3,8:15,2,8,LAC 34,17,10,Justin Herbert pass complete short right to Austin Ekeler for 5 yards (tackle by Foyesade Oluokun),0.800,0.760
3,7:33,3,3,LAC 39,17,10,Justin Herbert pass complete short left to Keenan Allen for 8 yards (tackle by Isaiah Oliver),0.760,2.060
3,6:57,1,10,LAC 47,17,10,Justin Herbert pass complete short right to Kalen Ballage for 6 yards (tackle by AJ Terrell and Foyesade Oluokun),2.060,2.330
3,6:16,2,4,ATL 47,17,10,"Kalen Ballage up the middle for 1 yard (tackle by Steven Means and Sharrod Neasman) Penalty on LAC: Illegal Shift, 5 yards (no play)",2.330,1.650
3,5:51,2,9,LAC 48,17,10,Justin Herbert pass complete short middle to Hunter Henry for 11 yards (tackle by Keanu Neal),1.650,2.850
3,5:15,1,10,ATL 41,17,10,Kalen Ballage up the middle for 5 yards (tackle by John Cominsky and Tyeler Davison),2.850,2.980
3,4:37,2,5,ATL 36,17,10,"Austin Ekeler up the middle for 13 yards (tackle by AJ Terrell and John Cominsky). Austin Ekeler fumbles (forced by AJ Terrell), recovered by Jalen Guyton at ATL-23",2.980,4.040
3,3:53,1,10,ATL 23,17,10,Kalen Ballage up the middle for 2 yards (tackle by Tyeler Davison),4.040,3.770
3,3:12,2,8,ATL 21,17,10,Justin Herbert pass complete short right to Austin Ekeler for 13 yards (tackle by Deion Jones),3.770,5.370
3,2:36,1,8,ATL 8,17,10,Justin Herbert pass complete short left to Keenan Allen for -4 yards (tackle by Darqueze Dennard),5.370,3.860
3,1:54,2,12,ATL 12,17,10,Justin Herbert pass complete short right to Austin Ekeler for no gain (tackle by AJ Terrell),3.860,3.100
3,1:15,3,12,ATL 12,17,16,"Justin Herbert pass complete short right to Tyron Johnson for 12 yards, touchdown",3.100,7.000
3,1:10,,,ATL 15,17,17,Michael Badgley kicks extra point good,0.000,0.000
3,1:10,,,LAC 35,17,17,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
3,1:10,1,10,ATL 25,17,17,Ito Smith right tackle for 5 yards (tackle by Jerry Tillery),0.610,0.740
3,0:36,2,5,ATL 30,17,17,Ito Smith left guard for 6 yards (tackle by Joey Bosa and Kenneth Murray),0.740,1.330
Quarter,Time,Down,ToGo,Location,ATL,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ATL 36,17,17,Ito Smith right guard for 5 yards (tackle by Rayshawn Jenkins),1.330,1.470
4,14:23,2,5,ATL 41,17,17,Matt Ryan pass incomplete deep left intended for Calvin Ridley,1.470,0.760
4,14:18,3,5,ATL 41,17,17,Matt Ryan pass complete short right to Brian Hill for 12 yards (tackle by Rayshawn Jenkins). Penalty on Casey Hayward: Defensive Holding (Declined),0.760,2.460
4,13:56,1,10,LAC 47,17,17,Ito Smith right end for 6 yards (tackle by Jahleel Addae),2.460,2.720
4,13:16,2,4,LAC 41,17,17,Ito Smith left guard for 3 yards (tackle by Chris Harris),2.720,2.410
4,12:40,3,1,LAC 38,17,17,"Matt Ryan pass incomplete short right. Penalty on Matt Ryan: Intentional Grounding, 10 yards",2.410,0.070
4,12:35,4,11,LAC 48,17,17,Sterling Hofrichter punts 33 yards downed by Mykal Walker,0.070,0.220
4,12:25,1,10,LAC 15,17,17,Austin Ekeler left end for 2 yards (tackle by Isaiah Oliver),-0.220,-0.440
4,11:56,2,8,LAC 17,17,17,Justin Herbert pass complete short right to Keenan Allen for 7 yards (tackle by AJ Terrell),-0.440,-0.270
4,11:16,3,1,LAC 24,17,17,"Justin Herbert pass incomplete short right intended for Kalen Ballage. Penalty on Mykal Walker: Defensive Holding, 5 yards (no play)",-0.270,0.870
4,11:11,1,10,LAC 29,17,17,Justin Herbert pass complete short right to Justin Jackson for no gain (tackle by Foyesade Oluokun),0.870,0.330
4,10:29,2,10,LAC 29,17,17,Justin Herbert pass complete short right to Justin Jackson for 1 yard (tackle by Deion Jones),0.330,-0.230
4,9:47,3,9,LAC 30,17,17,Justin Herbert sacked by Foyesade Oluokun for -3 yards,-0.230,-1.570
4,9:07,4,12,LAC 27,17,17,"Ty Long punts 52 yards, returned by Brandon Powell for 20 yards (tackle by Brandon Facyson)",-1.570,-1.660
4,8:54,1,10,ATL 41,17,17,Matt Ryan pass incomplete deep left intended for Russell Gage,1.660,1.120
4,8:46,2,10,ATL 41,17,17,Matt Ryan pass complete short right to Brandon Powell for 9 yards (tackle by Chris Harris),1.120,1.620
4,8:08,3,1,ATL 50,17,17,Matt Ryan right end for 3 yards (tackle by Kyzir White),1.620,2.460
4,7:36,1,10,LAC 47,17,17,Ito Smith right guard for -1 yards (tackle by Linval Joseph),2.460,1.780
4,6:57,2,11,LAC 48,17,17,Matt Ryan pass complete short left to Calvin Ridley for no gain (tackle by Kyzir White),1.780,1.090
4,6:18,3,11,LAC 48,17,17,Matt Ryan pass complete short middle to Calvin Ridley for 14 yards (tackle by Casey Hayward),1.090,3.310
4,5:53,1,10,LAC 34,17,17,Ito Smith right end for 7 yards (tackle by Jerry Tillery),3.310,3.720
4,5:14,2,3,LAC 27,17,17,Ito Smith left end for no gain (tackle by Linval Joseph),3.720,3.010
4,4:32,3,3,LAC 27,17,17,Matt Ryan pass complete short left to Calvin Ridley for 8 yards,3.010,4.310
4,4:27,1,10,LAC 19,17,17,Matt Ryan pass complete short right to Ito Smith for 3 yards (tackle by Nick Vigil),4.310,4.180
4,3:58,2,7,LAC 16,17,17,"Matt Ryan pass incomplete deep left intended for Calvin Ridley. Penalty on Justin McCray: Offensive Holding, 10 yards (no play)",4.180,2.820
4,3:52,2,17,LAC 26,17,17,Matt Ryan pass short right intended for Hayden Hurst is intercepted by Jahleel Addae at LAC-22 and returned for 3 yards,2.820,-0.610
4,3:46,1,10,LAC 25,17,17,Justin Herbert pass complete short left to Hunter Henry for no gain (tackle by Mykal Walker),0.610,0.060
4,3:06,2,10,LAC 25,17,17,Justin Herbert pass complete short right to Tyron Johnson for 10 yards (tackle by AJ Terrell),0.060,1.270
4,3:02,1,10,LAC 35,17,17,Justin Herbert pass complete short left to K.J. Hill for 4 yards (tackle by Sharrod Neasman),1.270,1.260
4,2:27,2,6,LAC 39,17,17,Austin Ekeler right end for 8 yards (tackle by Deion Jones),1.260,2.060
4,2:00,1,10,LAC 47,17,17,Austin Ekeler right end for 9 yards (tackle by Keanu Neal),2.060,2.730
4,1:29,2,1,ATL 44,17,17,Austin Ekeler left guard for -1 yards (tackle by Jacob Tuioti-Mariner),2.730,1.880
4,0:53,3,2,ATL 45,17,17,Justin Herbert pass short middle intended for Keenan Allen is intercepted by Blidi Wreh-Wilson at ATL-38 and returned for no gain,1.880,-1.470
4,0:47,1,10,ATL 38,17,17,Matt Ryan pass incomplete short right intended for Todd Gurley,1.470,0.920
4,0:43,2,10,ATL 38,17,17,Matt Ryan pass complete short middle to Russell Gage for 17 yards (tackle by Nasir Adderley),0.920,2.590
4,0:36,,,,,,Timeout #2 by Atlanta Falcons,,
4,0:36,1,10,LAC 45,17,17,"Matt Ryan pass short right intended for Calvin Ridley is intercepted by Michael Davis at LAC-33 and returned for 8 yards. Penalty on Joey Bosa: Unnecessary Roughness, 15 yards",2.590,-0.670
4,0:31,1,10,LAC 26,17,17,Justin Herbert pass incomplete short middle intended for Kalen Ballage,0.670,0.130
4,0:26,2,10,LAC 26,17,17,Justin Herbert pass complete short left to Jalen Guyton for 8 yards (tackle by Isaiah Oliver),0.130,0.500
4,0:20,,,,,,Timeout #1 by Los Angeles Chargers,,
4,0:20,3,2,LAC 34,17,17,Justin Herbert pass complete short middle to Hunter Henry for 15 yards (tackle by Foyesade Oluokun),0.500,2.190
4,0:16,,,,,,Timeout #2 by Los Angeles Chargers,,
4,0:16,1,10,LAC 49,17,17,Justin Herbert pass complete deep left to Tyron Johnson for 25 yards (tackle by Keanu Neal),2.190,3.840
4,0:10,1,10,ATL 26,17,17,Kalen Ballage right tackle for 1 yard (tackle by Grady Jarrett),3.840,3.430
4,0:03,,,,,,Timeout #3 by Los Angeles Chargers,,
4,0:03,2,9,ATL 25,17,20,Michael Badgley 43 yard field goal good,3.430,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
