Unnamed: 0,ATL,LAC
First Downs,19,23
Rush-Yds-TDs,20-70-0,26-105-0
Cmp-Att-Yd-TD-INT,22-33-263-2-3,36-44-243-2-1
Sacked-Yards,2-14,1-3
Net Pass Yards,249,240
Total Yards,319,345
Fumbles-Lost,0-0,2-0
Turnovers,3,1
Penalties-Yards,4-35,6-40
Third Down Conv.,9-12,9-15
Fourth Down Conv.,0-0,0-0
Time of Possession,25:45,34:15
