Quarter,Time,Tm,Detail,ATL,LAC
1.0,3:57,Chargers,Keenan Allen 10 yard pass from Justin Herbert (Michael Badgley kick),0,7
,0:21,Falcons,Calvin Ridley 39 yard pass from Russell Gage (Younghoe Koo kick),7,7
2.0,9:47,Falcons,Younghoe Koo 45 yard field goal,10,7
,8:13,Chargers,Michael Badgley 35 yard field goal,10,10
,4:51,Falcons,Laquon Treadwell 9 yard pass from Matt Ryan (Younghoe Koo kick),17,10
3.0,1:10,Chargers,Tyron Johnson 12 yard pass from Justin Herbert (Michael Badgley kick),17,17
4.0,0:00,Chargers,Michael Badgley 43 yard field goal,17,20
