Quarter,Time,Down,ToGo,Location,CLE,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 64 yards, returned by Demetric Felton for 24 yards (tackle by Rasul Douglas)",,
1,14:54,1,10,CLE 25,0,0,Baker Mayfield pass complete short middle to Jarvis Landry for 7 yards (tackle by De'Vondre Campbell),,
1,14:20,2,3,CLE 32,0,0,"Baker Mayfield pass complete short right to Nick Chubb for 40 yards (tackle by Adrian Amos). Penalty on Darnell Savage: Low Block, 14 yards (accepted)",,
1,13:48,1,10,GNB 14,0,0,Nick Chubb right guard for 1 yard (tackle by De'Vondre Campbell and Tyler Lancaster),,
1,13:07,2,9,GNB 13,0,0,Baker Mayfield pass complete short middle to Jarvis Landry for 12 yards (tackle by Darnell Savage and Eric Stokes),,
1,12:27,1,1,GNB 1,6,0,"Nick Chubb left guard for 1 yard, touchdown",,
1,12:21,,,GNB 15,6,0,Chris Naggar kicks extra point no good,,
1,12:21,,,CLE 35,6,0,"Chris Naggar kicks off 65 yards, touchback.",,
1,12:21,1,10,GNB 25,6,0,Aaron Rodgers pass complete short right to Marcedes Lewis for 1 yard (tackle by Denzel Ward),,
1,11:50,2,9,GNB 26,6,0,Aaron Rodgers pass incomplete short middle intended for Aaron Jones,,
1,11:46,3,9,GNB 26,6,0,Aaron Rodgers pass complete short left to Aaron Jones for 8 yards (tackle by M.J. Stewart and Grant Delpit),,
1,10:56,4,1,GNB 34,6,0,Aaron Jones right end for 4 yards (tackle by M.J. Stewart),,
1,10:17,1,10,GNB 38,6,0,Aaron Jones up the middle for no gain (tackle by Grant Delpit and Anthony Walker),,
1,9:41,2,10,GNB 38,6,0,Aaron Rodgers pass complete short left to Davante Adams for 4 yards (tackle by M.J. Stewart),,
1,9:00,3,6,GNB 42,6,0,Aaron Rodgers pass incomplete short right intended for Allen Lazard,,
1,8:45,4,6,GNB 42,6,0,"Corey Bojorquez punts 45 yards, returned by Donovan Peoples-Jones for 3 yards (tackle by Oren Burks). Penalty on Herb Miller: Illegal Block Above the Waist, 8 yards (accepted)",,
1,8:45,1,10,CLE 8,6,0,Baker Mayfield pass deep middle intended for Donovan Peoples-Jones is intercepted by Darnell Savage at GB-47 and returned for no gain (tackle by Donovan Peoples-Jones),,
1,8:37,1,10,GNB 47,6,0,AJ Dillon up the middle for 4 yards (tackle by Anthony Walker and Jeremiah Owusu-Koramoah),,
1,7:55,2,6,CLE 49,6,0,Aaron Rodgers pass complete deep right to Davante Adams for 33 yards (tackle by Denzel Ward),,
