Quarter,Time,Tm,Detail,CLE,GNB
1.0,12:21,Browns,Nick Chubb 1 yard rush (Chris Naggar kick failed),6,0
,5:13,Packers,Allen Lazard 11 yard pass from Aaron Rodgers (Mason Crosby kick),6,7
2.0,10:47,Packers,Davante Adams 9 yard pass from Aaron Rodgers (Mason Crosby kick),6,14
,7:03,Browns,Harrison Bryant 1 yard pass from Baker Mayfield (pass failed),12,14
,0:12,Packers,Davante Adams 1 yard pass from Aaron Rodgers (Mason Crosby kick),12,21
3.0,9:12,Packers,Mason Crosby 32 yard field goal,12,24
,1:07,Browns,Chris Naggar 37 yard field goal,15,24
4.0,4:31,Browns,Anthony Schwartz 5 yard pass from Baker Mayfield (Chris Naggar kick),22,24
