Unnamed: 0,CLE,GNB
First Downs,28,19
Rush-Yds-TDs,25-219-1,24-109-0
Cmp-Att-Yd-TD-INT,21-36-222-2-4,24-34-202-3-0
Sacked-Yards,5-33,0-0
Net Pass Yards,189,202
Total Yards,408,311
Fumbles-Lost,0-0,0-0
Turnovers,4,0
Penalties-Yards,6-38,3-29
Third Down Conv.,7-12,3-10
Fourth Down Conv.,1-1,1-1
Time of Possession,31:41,28:19
