Unnamed: 0,LAR,TAM
First Downs,9,18
Rush-Yds-TDs,24-68-0,20-51-0
Cmp-Att-Yd-TD-INT,13-27-165-1-0,36-58-280-1-0
Sacked-Yards,4-27,1-8
Net Pass Yards,138,272
Total Yards,206,323
Fumbles-Lost,3-0,0-0
Turnovers,0,0
Penalties-Yards,4-53,7-55
Third Down Conv.,4-15,9-21
Fourth Down Conv.,0-0,0-2
Time of Possession,28:44,31:16
