Quarter,Time,Down,ToGo,Location,LAR,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Rams to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Jake Camarda kicks off 67 yards, returned by Brandon Powell for 29 yards (tackle by Jake Camarda)",0.000,0.740
1,14:55,1,10,LAR 27,0,0,Matthew Stafford pass incomplete short right intended for Darrell Henderson,0.740,0.200
1,14:50,2,10,LAR 27,0,0,Darrell Henderson right guard for 5 yards (tackle by Anthony Nelson and Keanu Neal),0.200,0.170
1,14:06,3,5,LAR 32,0,0,Matthew Stafford pass incomplete short right intended for Tyler Higbee,0.170,-1.240
1,14:01,4,5,LAR 32,0,0,"Riley Dixon punts 41 yards, returned by Jaelon Darden for 17 yards (tackle by Riley Dixon)",-1.240,-1.860
1,13:51,1,10,TAM 44,0,0,Leonard Fournette up the middle for 3 yards (tackle by Bobby Wagner),1.860,1.720
1,13:20,2,7,TAM 47,0,0,Tom Brady pass incomplete short left intended for Mike Evans (defended by Troy Hill),1.720,1.030
1,13:09,3,7,TAM 47,0,0,Tom Brady pass complete short middle to Mike Evans for 10 yards (tackle by Leonard Floyd and Taylor Rapp),1.030,2.720
1,12:42,1,10,LAR 43,0,0,"Leonard Fournette up the middle for no gain (tackle by Justin Hollins). Penalty on Robert Hainsey: Offensive Holding, 10 yards (accepted) (no play)",2.720,2.060
1,12:28,1,20,TAM 47,0,0,Leonard Fournette left end for 6 yards (tackle by Ernest Jones and Jalen Ramsey),2.060,1.640
1,11:43,2,14,LAR 47,0,0,Tom Brady pass complete short left to Julio Jones for 19 yards (tackle by Derion Kendrick),1.640,3.710
1,10:59,1,10,LAR 28,0,0,Leonard Fournette right guard for 2 yards (tackle by Nick Scott),3.710,3.440
1,10:27,2,8,LAR 26,0,0,Tom Brady pass complete short left to Chris Godwin for 2 yards (tackle by Troy Hill),3.440,3.010
1,9:52,3,6,LAR 24,0,0,Tom Brady pass complete short middle to Mike Evans for 13 yards (tackle by Taylor Rapp),3.010,4.840
1,9:11,1,10,LAR 11,0,0,Leonard Fournette up the middle for 1 yard (tackle by A'Shawn Robinson),4.840,4.320
1,8:25,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
1,8:25,2,9,LAR 10,0,0,Tom Brady pass complete short middle to Leonard Fournette for 7 yards (tackle by Ernest Jones and Bobby Wagner),4.320,4.890
1,8:06,3,2,LAR 3,0,0,Leonard Fournette up the middle for 1 yard (tackle by A'Shawn Robinson and Bobby Wagner),4.890,3.250
1,7:19,4,1,LAR 2,0,3,Ryan Succop 20 yard field goal good,3.250,3.000
1,7:16,,,TAM 35,0,3,"Jake Camarda kicks off 65 yards, touchback.",0.000,0.610
1,7:16,1,10,LAR 25,0,3,Matthew Stafford pass incomplete deep left intended for Van Jefferson,0.610,0.060
1,7:10,2,10,LAR 25,0,3,Matthew Stafford pass complete short right to Cooper Kupp for 2 yards (tackle by Devin White),0.060,-0.360
1,6:24,3,8,LAR 27,0,3,"Matthew Stafford sacked by Joe Tryon-Shoyinka for no gain. Penalty on Joe Tryon-Shoyinka: Defensive Offside, 5 yards (accepted) (no play)",-0.360,0.300
1,5:55,3,3,LAR 32,0,3,Matthew Stafford pass complete short right to Allen Robinson for 4 yards (tackle by Carlton Davis),0.300,1.330
1,5:34,1,10,LAR 36,0,3,Matthew Stafford pass incomplete short right intended for Van Jefferson,1.330,0.790
1,5:31,2,10,LAR 36,0,3,Matthew Stafford sacked by Vita Vea for -9 yards,0.790,-1.090
1,4:47,3,19,LAR 27,0,3,Matthew Stafford pass complete short left to Cooper Kupp for 6 yards (tackle by Jamel Dean and Sean Murphy-Bunting),-1.090,-1.180
1,4:10,4,13,LAR 33,0,3,"Riley Dixon punts 59 yards, returned by Jaelon Darden for 10 yards (tackle by Travin Howard)",-1.180,-0.040
1,4:02,1,10,TAM 18,0,3,Ke'Shawn Vaughn right end for 5 yards (tackle by Troy Hill and Bobby Wagner),0.040,0.280
1,3:20,2,5,TAM 23,0,3,"Leonard Fournette left tackle for no gain (tackle by Taylor Rapp and Terrell Lewis). Penalty on Donovan Smith: Offensive Holding, 10 yards (accepted) (no play)",0.280,-1.140
1,2:54,2,15,TAM 13,0,3,Tom Brady pass complete short right to Cade Otton for 10 yards (tackle by Jalen Ramsey),-1.140,-0.530
1,2:15,3,5,TAM 23,0,3,Tom Brady pass incomplete short middle intended for Leonard Fournette,-0.530,-1.830
1,2:10,4,5,TAM 23,0,3,"Jake Camarda punts 68 yards, recovered by Brandon Powell at LA-9",-1.830,0.380
1,2:00,1,10,LAR 9,0,3,Cam Akers up the middle for 1 yard (tackle by Carl Nassib),-0.380,-0.710
1,1:18,2,9,LAR 10,0,3,Matthew Stafford pass complete short right to Cooper Kupp for 8 yards (tackle by Keanu Neal),-0.710,-0.370
1,0:58,3,1,LAR 18,0,3,Cam Akers right tackle for 2 yards (tackle by Carlton Davis and Keanu Neal),-0.370,0.280
1,0:19,1,10,LAR 20,0,3,Matthew Stafford pass incomplete short middle intended for Ben Skowronek,0.280,-0.270
1,0:15,2,10,LAR 20,0,3,"Matthew Stafford pass complete short right to Darrell Henderson for no gain (tackle by Devin White). Penalty on Genard Avery: Defensive Offside, 5 yards (accepted) (no play)",-0.270,0.410
Quarter,Time,Down,ToGo,Location,LAR,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,LAR 25,0,3,Cam Akers left tackle for 2 yards (tackle by William Gholston and Jamel Dean),0.410,-0.030
2,14:16,3,3,LAR 27,0,3,Matthew Stafford pass complete short left to Allen Robinson for 5 yards (tackle by Jamel Dean),-0.030,1.070
2,13:29,1,10,LAR 32,0,3,Cooper Kupp right end for -1 yards (tackle by Sean Murphy-Bunting and Devin White),1.070,0.390
2,13:08,2,11,LAR 31,6,3,"Matthew Stafford pass complete deep middle to Cooper Kupp for 69 yards, touchdown",0.390,7.000
2,12:57,,,TAM 15,7,3,Matt Gay kicks extra point good,0.000,0.000
2,12:57,,,LAR 35,7,3,"Matt Gay kicks off 65 yards, returned by Rachaad White for 25 yards (tackle by Cobie Durant and Russ Yeast)",0.000,0.610
2,12:50,1,10,TAM 25,7,3,Rachaad White right guard for 4 yards (tackle by Leonard Floyd and Ernest Jones),0.610,0.600
2,12:09,2,6,TAM 29,7,3,Tom Brady pass incomplete short middle,0.600,-0.100
2,12:05,3,6,TAM 29,7,3,Tom Brady pass complete short right to Mike Evans for 4 yards (tackle by Jalen Ramsey),-0.100,-1.180
2,11:27,4,2,TAM 33,7,3,Jake Camarda punts 48 yards downed by Anthony Nelson,-1.180,-0.150
