#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,LAR 27,3,1:09,5,Punt
2,1,7:16,LAR 25,6,3:14,8,Punt
3,1,2:00,LAR 9,8,4:03,91,Touchdown
4,2,11:14,LAR 19,3,1:00,4,Punt
5,2,9:21,LAR 11,3,1:37,7,Punt
6,2,2:57,LAR 40,3,1:00,-5,Punt
7,2,0:24,LAR 15,1,0:24,-1,End of Half
8,3,14:02,LAR 25,11,4:48,67,Field Goal
9,3,7:36,LAR 11,3,2:15,-1,Punt
10,3,3:56,TAM 47,6,3:47,31,Field Goal
11,4,13:23,LAR 20,3,1:46,-1,Punt
12,4,8:07,LAR 22,3,2:24,-7,Punt
13,4,1:52,LAR 7,3,1:08,6,Punt
14,4,0:09,LAR 25,1,0:09,1,End of Game
