Quarter,Time,Tm,Detail,CHI,GNB
1.0,7:22,Packers,Davante Adams 12 yard pass from Aaron Rodgers (Mason Crosby kick failed),0,6
,5:14,Bears,Cairo Santos 27 yard field goal,3,6
2.0,14:55,Packers,Marcedes Lewis 5 yard pass from Aaron Rodgers (Mason Crosby kick),3,13
,4:34,Packers,Allen Lazard 2 yard pass from Aaron Rodgers (Mason Crosby kick),3,20
,3:11,Packers,Preston Smith 14 yard fumble return (Mason Crosby kick),3,27
,0:19,Bears,Allen Robinson 1 yard pass from Mitchell Trubisky (Cairo Santos kick),10,27
3.0,6:30,Packers,Robert Tonyan 39 yard pass from Aaron Rodgers (Mason Crosby kick),10,34
,1:12,Packers,Jamaal Williams 13 yard rush (Mason Crosby kick),10,41
4.0,11:48,Bears,Allen Robinson 6 yard pass from Mitchell Trubisky (Cairo Santos kick),17,41
,3:21,Bears,David Montgomery 3 yard pass from Mitchell Trubisky (Darnell Mooney pass from Mitchell Trubisky),25,41
