Unnamed: 0,CHI,GNB
First Downs,26,28
Rush-Yds-TDs,16-121-0,39-182-1
Cmp-Att-Yd-TD-INT,26-46-242-3-2,21-29-211-4-0
Sacked-Yards,3-13,0-0
Net Pass Yards,229,211
Total Yards,350,393
Fumbles-Lost,3-1,0-0
Turnovers,3,0
Penalties-Yards,5-45,3-17
Third Down Conv.,4-10,6-11
Fourth Down Conv.,1-1,3-3
Time of Possession,22:16,37:44
