Unnamed: 0,PIT,GNB
First Downs,21,26
Rush-Yds-TDs,29-151-2,30-151-3
Cmp-Att-Yd-TD-INT,17-29-197-2-1,21-39-232-1-1
Sacked-Yards,1-5,3-13
Net Pass Yards,192,219
Total Yards,343,370
Fumbles-Lost,2-1,1-1
Turnovers,2,2
Penalties-Yards,7-58,9-90
Third Down Conv.,2-10,6-14
Fourth Down Conv.,2-2,0-0
Time of Possession,26:40,33:20
