Unnamed: 0,CHI,DET
First Downs,23,14
Rush-Yds-TDs,28-114-2,27-134-1
Cmp-Att-Yd-TD-INT,21-26-234-1-0,16-24-178-1-0
Sacked-Yards,4-37,2-10
Net Pass Yards,197,168
Total Yards,311,302
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,4-25,6-42
Third Down Conv.,5-9,6-14
Fourth Down Conv.,0-0,1-2
Time of Possession,33:19,26:41
