Quarter,Time,Tm,Detail,CHI,DET
1.0,6:36,Lions,Drew Stanton 3 yard rush (Dave Rayner kick),0,7
,0:03,Bears,Chester Taylor 1 yard rush (Robbie Gould kick),7,7
2.0,9:31,Lions,Dave Rayner 50 yard field goal,7,10
,4:40,Bears,Matt Forte 14 yard rush (Robbie Gould kick),14,10
,0:34,Lions,Calvin Johnson 46 yard pass from Drew Stanton (Dave Rayner kick),14,17
3.0,12:38,Lions,Dave Rayner 25 yard field goal,14,20
,2:40,Bears,Robbie Gould 54 yard field goal,17,20
4.0,8:39,Bears,Brandon Manumaleuna 7 yard pass from Jay Cutler (Robbie Gould kick),24,20
