Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,HOU 20,0,0,Chris Polk right tackle for 1 yard (tackle by David Parry and Dwight Lowery),0.280,-0.130
1,14:28,2,9,HOU 21,0,0,"T.J. Yates pass incomplete deep left intended for DeAndre Hopkins. Penalty on Vontae Davis: Defensive Pass Interference, 22 yards (no play)",-0.130,1.800
1,14:22,1,10,HOU 43,0,0,Chris Polk left end for 3 yards (tackle by Erik Walden),1.800,1.660
1,13:45,2,7,HOU 46,0,0,Chris Polk right tackle for 1 yard (tackle by Jerrell Freeman and D'Qwell Jackson),1.660,1.660
1,13:09,2,7,HOU 46,0,0,Timeout #1 by Indianapolis Colts,1.660,1.090
1,13:09,3,6,HOU 47,0,0,T.J. Yates pass complete short middle to Nate Washington for 5 yards (tackle by Darius Butler),1.090,0.070
1,12:24,4,1,IND 48,0,0,Akeem Hunt left end for 21 yards (tackle by Mike Adams),0.070,3.780
1,12:01,1,10,IND 27,0,0,Akeem Hunt right tackle for 1 yard (tackle by D'Qwell Jackson and Jerrell Freeman),3.780,3.370
1,11:27,2,9,IND 26,0,0,T.J. Yates pass incomplete deep left intended for DeAndre Hopkins is intercepted by Vontae Davis at IND-9 and returned for 6 yards,3.370,0.220
1,11:19,1,10,IND 15,0,0,Matt Hasselbeck pass complete short right to Andre Johnson for 10 yards (tackle by Benardrick McKinney),-0.220,0.610
1,10:43,1,10,IND 25,0,0,Frank Gore middle for 5 yards (tackle by Brian Cushing and Benardrick McKinney),0.610,0.740
1,10:04,2,5,IND 30,0,0,Matt Hasselbeck pass complete short right to T.Y. Hilton for 6 yards,0.740,1.330
1,9:33,1,10,IND 36,0,0,Frank Gore middle for 1 yard (tackle by Vince Wilfork and Jadeveon Clowney),1.330,0.930
1,8:55,2,9,IND 37,0,0,Matt Hasselbeck pass complete short right to T.Y. Hilton for 10 yards,0.930,2.060
1,8:26,1,10,IND 47,0,0,Matt Hasselbeck pass incomplete deep left intended for T.Y. Hilton (defended by Andre Hal),2.060,1.520
1,8:21,2,10,IND 47,0,0,Frank Gore right end for -1 yards (tackle by Benardrick McKinney),1.520,0.700
1,7:55,3,11,IND 46,0,0,Matt Hasselbeck pass complete short middle to Coby Fleener for 12 yards (tackle by Quintin Demps and Eddie Pleasant),0.700,0.700
1,7:18,3,11,IND 46,0,0,Timeout #1 by Houston Texans,0.700,2.790
1,7:18,1,10,HOU 42,0,0,Matt Hasselbeck pass incomplete short right intended for Andre Johnson,2.790,2.240
1,7:15,2,10,HOU 42,0,0,Frank Gore right guard for 2 yards (tackle by Jared Crick),2.240,1.820
1,6:34,3,8,HOU 40,0,0,Matt Hasselbeck pass incomplete short right intended for Phillip Dorsett,1.820,0.590
1,6:30,4,8,HOU 40,0,0,"Pat McAfee punts 29 yards, fair catch by Cecil Shorts",0.590,0.370
1,6:23,1,10,HOU 11,0,0,Alfred Blue middle for 8 yards (tackle by Darius Butler and Jonathan Newsome),-0.370,0.170
1,5:48,2,2,HOU 19,0,0,Alfred Blue right tackle for 3 yards (tackle by Jerrell Freeman),0.170,0.410
1,5:11,1,10,HOU 22,0,0,T.J. Yates right end for 7 yards (tackle by Billy Winn),0.410,0.810
1,4:38,2,3,HOU 29,0,0,Alfred Blue right end for 1 yard (tackle by Jerrell Freeman),0.810,0.230
1,3:59,3,2,HOU 30,0,0,T.J. Yates pass complete short left to Nate Washington for 7 yards (tackle by D'Qwell Jackson),0.230,1.400
1,3:23,1,10,HOU 37,0,0,"Alfred Blue middle for 5 yards (tackle by Mike Adams). Alfred Blue fumbles (forced by Mike Adams), recovered by Mike Adams at HOU-42 (tackle by Nate Washington)",1.400,-2.790
1,3:14,1,10,HOU 42,0,0,Matt Hasselbeck pass complete short left to Frank Gore for 15 yards (tackle by Brian Cushing),2.790,3.780
1,2:38,1,10,HOU 27,0,0,Frank Gore middle for 3 yards (tackle by J.J. Watt),3.780,3.640
1,2:01,2,7,HOU 24,0,0,Matt Hasselbeck pass complete short middle to Dan Herron for 6 yards (tackle by Benardrick McKinney and Brian Cushing),3.640,3.840
1,1:22,3,1,HOU 18,0,0,Dwayne Allen middle for 1 yard (tackle by Benardrick McKinney and Brian Cushing),3.840,4.440
1,0:40,1,10,HOU 17,0,0,Frank Gore middle for 1 yard (tackle by J.J. Watt and Vince Wilfork),4.440,4.000
1,0:03,2,9,HOU 16,0,0,"Penalty on J.J. Watt: Neutral Zone Infraction, 5 yards (no play)",4.000,4.890
Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,HOU 11,0,0,Matt Hasselbeck pass incomplete,4.890,4.100
2,14:54,3,4,HOU 11,0,6,"Matt Hasselbeck pass complete short middle to Donte Moncrief for 11 yards, touchdown",4.100,7.000
2,14:54,,,HOU 11,0,7,Adam Vinatieri kicks extra point good,0.000,0.000
2,14:54,,,IND 35,0,7,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
2,14:50,1,10,HOU 20,0,7,T.J. Yates pass complete short right to DeAndre Hopkins for 10 yards (tackle by Mike Adams and Vontae Davis),0.280,0.940
2,14:20,1,10,HOU 30,0,7,T.J. Yates pass incomplete deep left intended for Nate Washington,0.940,0.390
2,14:13,2,10,HOU 30,0,7,Chris Polk middle for 1 yard (tackle by Jerrell Freeman),0.390,-0.160
2,13:32,3,9,HOU 31,0,7,T.J. Yates sacked by Trent Cole for -6 yards,-0.160,-1.700
2,13:01,4,15,HOU 25,0,7,"Shane Lechler punts 55 yards, returned by Quan Bray for 33 yards (tackle by Jay Prosch)",-1.700,-2.460
2,12:46,1,10,HOU 47,0,7,Matt Hasselbeck pass incomplete short left intended for T.Y. Hilton,2.460,1.910
2,12:42,2,10,HOU 47,0,7,Matt Hasselbeck right end for 1 yard (tackle by Jadeveon Clowney),1.910,1.350
2,12:04,3,9,HOU 46,0,7,Zurlon Tipton right guard for 4 yards (tackle by John Simon),1.350,0.460
2,11:29,4,5,HOU 42,0,7,"Pat McAfee punts 35 yards, fair catch by Cecil Shorts",0.460,0.380
2,11:21,1,10,HOU 7,0,7,Alfred Blue left end for 10 yards (tackle by Mike Adams and Kendall Langford),-0.380,-0.060
2,10:50,1,10,HOU 17,0,7,Alfred Blue right tackle for 1 yard (tackle by Kendall Langford),-0.060,-0.680
2,10:26,1,18,HOU 9,0,7,T.J. Yates pass complete short left to DeAndre Hopkins for 6 yards (tackle by Vontae Davis),-0.680,-0.850
2,9:49,2,12,HOU 15,0,7,T.J. Yates sacked by Kendall Langford for -7 yards,-0.850,-2.470
2,9:08,3,19,HOU 8,0,7,Jonathan Grimes middle for 1 yard (tackle by Jonathan Newsome),-2.470,-2.490
2,8:39,4,18,HOU 9,0,7,"Shane Lechler punts 45 yards, returned by Quan Bray for 19 yards",-2.490,-3.250
2,8:22,1,10,HOU 35,0,7,Matt Hasselbeck pass complete deep left to Andre Johnson for 18 yards (tackle by Quintin Demps),3.250,4.440
2,7:45,1,10,HOU 17,0,7,Frank Gore middle for 1 yard (tackle by Brian Cushing and Vince Wilfork),4.440,4.000
