Quarter,Time,Tm,Detail,HOU,IND
2.0,14:50,Colts,Donte Moncrief 11 yard pass from Matt Hasselbeck (Adam Vinatieri kick),0,7
,6:12,Colts,Adam Vinatieri 29 yard field goal,0,10
,0:00,Texans,Nick Novak 22 yard field goal,3,10
3.0,2:42,Texans,Nick Novak 46 yard field goal,6,10
4.0,10:36,Texans,Jaelen Strong 8 yard pass from Brandon Weeden (Nick Novak kick),13,10
,1:56,Texans,Nick Novak 32 yard field goal,16,10
