Unnamed: 0,HOU,IND
First Downs,20,14
Rush-Yds-TDs,37-155-0,19-50-0
Cmp-Att-Yd-TD-INT,17-28-173-1-1,18-32-160-1-1
Sacked-Yards,3-23,3-20
Net Pass Yards,150,140
Total Yards,305,190
Fumbles-Lost,2-1,1-1
Turnovers,2,2
Penalties-Yards,6-48,8-94
Third Down Conv.,5-15,4-13
Fourth Down Conv.,2-2,0-0
Time of Possession,33:56,26:04
