Quarter,Time,Tm,Detail,DEN,TEN
1.0,3:45,Broncos,Matt Willis 5 yard pass from Kyle Orton (Matt Prater kick),7,0
2.0,11:37,Titans,Nate Washington 14 yard pass from Matt Hasselbeck (Rob Bironas kick),7,7
,1:11,Titans,Rob Bironas 46 yard field goal,7,10
3.0,1:17,Broncos,Willis McGahee 5 yard pass from Kyle Orton (Matt Prater kick),14,10
4.0,4:24,Titans,Daniel Graham 4 yard pass from Matt Hasselbeck (Rob Bironas kick),14,17
