Unnamed: 0,DEN,TEN
First Downs,19,17
Rush-Yds-TDs,23-59-0,23-38-0
Cmp-Att-Yd-TD-INT,24-39-173-2-2,27-36-311-2-0
Sacked-Yards,1-1,2-16
Net Pass Yards,172,295
Total Yards,231,333
Fumbles-Lost,0-0,3-2
Turnovers,2,2
Penalties-Yards,1-15,11-80
Third Down Conv.,8-15,8-15
Fourth Down Conv.,0-1,1-1
Time of Possession,29:06,30:54
