Unnamed: 0,PIT,CIN
First Downs,13,32
Rush-Yds-TDs,22-75-0,34-133-0
Cmp-Att-Yd-TD-INT,21-38-194-1-0,33-53-338-2-4
Sacked-Yards,1-2,7-39
Net Pass Yards,192,299
Total Yards,267,432
Fumbles-Lost,1-0,2-1
Turnovers,0,5
Penalties-Yards,8-59,4-27
Third Down Conv.,4-15,8-16
Fourth Down Conv.,0-0,1-3
Time of Possession,26:18,43:42
