Quarter,Time,Tm,Detail,PIT,CIN
1,12:43,Steelers,Minkah Fitzpatrick 31 yard interception return (Chris Boswell kick),7,0
,7:17,Bengals,Evan McPherson 59 yard field goal,7,3
,2:25,Steelers,Chris Boswell 20 yard field goal,10,3
2,8:46,Steelers,Najee Harris 1 yard pass from Mitchell Trubisky (Chris Boswell kick),17,3
,0:14,Bengals,Evan McPherson 26 yard field goal,17,6
3,4:41,Bengals,Tyler Boyd 2 yard pass from Joe Burrow (Mike Thomas pass from Joe Burrow),17,14
4,11:13,Steelers,Chris Boswell 48 yard field goal,20,14
,0:02,Bengals,Ja'Marr Chase 6 yard pass from Joe Burrow (Evan McPherson kick failed),20,20
OT,0:00,Steelers,Chris Boswell 53 yard field goal,23,20
