Quarter,Time,Tm,Detail,TAM,CAR
1.0,8:43,Buccaneers,Jeff Garcia 3 yard rush (Matt Bryant kick),7,0
,0:48,Buccaneers,Earnest Graham 1 yard rush (Matt Bryant kick),14,0
2.0,6:41,Buccaneers,Matt Bryant 25 yard field goal,17,0
4.0,10:21,Buccaneers,Matt Bryant 38 yard field goal,20,0
,0:23,Panthers,DeAngelo Williams 24 yard pass from David Carr (John Kasay kick),20,7
