Unnamed: 0,TAM,CAR
First Downs,22,13
Rush-Yds-TDs,42-189-2,23-99-0
Cmp-Att-Yd-TD-INT,15-25-176-0-0,19-41-155-1-1
Sacked-Yards,0-0,3-18
Net Pass Yards,176,137
Total Yards,365,236
Fumbles-Lost,2-1,2-1
Turnovers,1,2
Penalties-Yards,1-5,7-65
Third Down Conv.,5-13,6-18
Fourth Down Conv.,0-1,1-2
Time of Possession,34:40,25:20
