Quarter,Time,Tm,Detail,ARI,SEA
1.0,7:52,Cardinals,David Johnson 2 yard rush (Chandler Catanzaro kick),7,0
2.0,3:53,Cardinals,JJ Nelson 80 yard pass from Carson Palmer (Chandler Catanzaro kick),14,0
,0:15,Seahawks,Stephen Hauschka 27 yard field goal,14,3
3.0,8:20,Seahawks,Jermaine Kearse 2 yard pass from Russell Wilson (Stephen Hauschka kick),14,10
4.0,13:32,Cardinals,David Johnson 1 yard rush (Chandler Catanzaro kick),21,10
,8:49,Seahawks,Doug Baldwin 42 yard pass from Russell Wilson (Marcel Reece pass from Russell Wilson),21,18
,6:47,Cardinals,David Johnson 1 yard rush (Chandler Catanzaro kick),28,18
,4:10,Cardinals,Chandler Catanzaro 42 yard field goal,31,18
,2:48,Seahawks,Jimmy Graham 37 yard pass from Russell Wilson (Stephen Hauschka kick),31,25
,1:00,Seahawks,Paul Richardson 5 yard pass from Russell Wilson (Stephen Hauschka kick failed),31,31
,0:00,Cardinals,Chandler Catanzaro 43 yard field goal,34,31
