Unnamed: 0,ARI,SEA
First Downs,21,24
Rush-Yds-TDs,29-94-3,27-78-0
Cmp-Att-Yd-TD-INT,16-27-284-1-0,29-45-350-4-0
Sacked-Yards,1-8,6-37
Net Pass Yards,276,313
Total Yards,370,391
Fumbles-Lost,1-1,1-1
Turnovers,1,1
Penalties-Yards,7-85,5-40
Third Down Conv.,1-9,8-17
Fourth Down Conv.,0-0,0-2
Time of Possession,26:18,33:42
