Quarter,Time,Down,ToGo,Location,BUF,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Mike Hollis kicks off 45 yards, returned by Marc Edwards for 12 yards (tackle by Charles Johnson)",0.000,1.400
1,14:55,1,10,NWE 37,0,0,Tom Brady pass complete to Deion Branch for 41 yards (tackle by Pierson Prioleau),1.400,4.110
1,14:13,1,10,BUF 22,0,0,Marc Edwards middle for 3 yards (tackle by Ron Edwards and Pat Williams),4.110,3.970
1,13:38,2,7,BUF 19,0,0,Antowain Smith left guard for 8 yards (tackle by Pierson Prioleau and London Fletcher),3.970,4.840
1,12:46,1,10,BUF 11,0,0,Antowain Smith left end for -4 yards (tackle by Eddie Robinson and Chidi Ahanotu),4.840,3.560
1,12:10,2,14,BUF 15,0,0,Tom Brady pass incomplete intended for Christian Fauria,3.560,2.970
1,12:05,3,14,BUF 15,0,0,"Tom Brady pass complete to Deion Branch for 15 yards. Penalty on Matt Light: Offensive Holding, 10 yards (no play)",2.970,1.750
1,11:57,3,24,BUF 25,0,0,Tom Brady pass complete to David Patten for 4 yards (tackle by London Fletcher),1.750,2.060
1,11:20,4,20,BUF 21,0,3,Adam Vinatieri 39 yard field goal good,2.060,3.000
1,11:20,,,NWE 30,0,3,"Adam Vinatieri kicks off 65 yards, returned by Charlie Rogers for 23 yards (tackle by Matt Chatham)",0.000,0.810
1,11:10,1,10,BUF 28,0,3,Drew Bledsoe pass complete to Eric Moulds for 9 yards (tackle by Ted Johnson and Mike Vrabel),0.810,1.480
1,10:38,2,1,BUF 37,0,3,Travis Henry right end for 14 yards (tackle by Lawyer Milloy),1.480,2.320
1,9:55,1,10,NWE 49,0,3,Drew Bledsoe pass complete to Peerless Price for 5 yards (tackle by Otis Smith),2.320,2.460
1,9:30,2,5,NWE 44,0,3,Travis Henry left end for 2 yards (tackle by Lawyer Milloy),2.460,2.020
1,8:45,3,3,NWE 42,0,3,"Drew Bledsoe pass complete to Jay Riemersma for 27 yards (tackle by Otis Smith). Penalty on Peerless Price: Illegal Motion, 5 yards (no play)",2.020,1.360
1,8:17,3,8,NWE 47,0,3,Drew Bledsoe pass incomplete intended for Peerless Price,1.360,0.130
1,8:12,4,8,NWE 47,0,3,"Brian Moorman punts 33 yards, fair catch by Troy Brown",0.130,0.280
1,8:06,1,10,NWE 14,0,3,Tom Brady pass incomplete intended for David Patten,-0.280,-0.750
1,8:01,2,10,NWE 14,0,3,Tom Brady pass complete to Troy Brown for 11 yards (tackle by Chris Watson),-0.750,0.610
1,7:21,1,10,NWE 25,0,3,Tom Brady pass complete to Christian Fauria for 33 yards (tackle by Pierson Prioleau and Nate Clements),0.610,2.790
1,6:30,1,10,BUF 42,0,3,Troy Brown right end for 21 yards (tackle by Aaron Schobel),2.790,4.170
1,5:39,1,10,BUF 21,0,3,Antowain Smith left tackle for 3 yards (tackle by Eddie Robinson and London Fletcher),4.170,4.040
1,5:04,2,7,BUF 18,0,3,Antowain Smith left end for 5 yards (tackle by London Fletcher),4.040,4.240
1,4:23,3,2,BUF 13,0,3,Antowain Smith middle for 3 yards (tackle by Pat Williams),4.240,4.910
1,3:40,1,10,BUF 10,0,9,"Tom Brady pass complete to David Patten for 10 yards, touchdown",4.910,7.000
1,3:40,,,BUF 10,0,10,Adam Vinatieri kicks extra point good,0.000,0.000
1,3:40,,,NWE 30,0,10,"Adam Vinatieri kicks off 67 yards, returned by Charlie Rogers for 22 yards (tackle by Je'Rod Cherry)",0.000,0.610
1,3:29,1,10,BUF 25,0,10,Drew Bledsoe pass incomplete is intercepted by Richard Seymour at BUF-15 and returned for 6 yards,0.610,-5.140
1,3:22,1,9,BUF 9,0,10,Tom Brady pass incomplete intended for Christian Fauria,5.140,4.380
1,3:17,2,9,BUF 9,0,16,"Tom Brady pass complete to Donald Hayes for 9 yards, touchdown",4.380,7.000
1,3:17,,,BUF 9,0,17,Adam Vinatieri kicks extra point good,0.000,0.000
1,3:17,,,NWE 30,0,17,"Adam Vinatieri kicks off 62 yards, returned by Charlie Rogers for 33 yards. Penalty on Dominique Stevenson: Offensive Holding (Declined), Penalty on Pierson Prioleau: Illegal Block Above the Waist, 9 yards",0.000,-0.380
1,3:05,1,10,BUF 9,0,17,Travis Henry left end for 3 yards (tackle by Mike Vrabel and Lawyer Milloy),-0.380,-0.560
1,2:25,2,7,BUF 12,0,17,Travis Henry middle for 3 yards (tackle by Anthony Pleasant and Tebucky Jones),-0.560,-0.720
1,1:36,3,4,BUF 15,0,17,Drew Bledsoe pass complete to Jay Riemersma for 10 yards (tackle by Tebucky Jones),-0.720,0.610
1,0:55,1,10,BUF 25,0,17,Drew Bledsoe pass complete to Jay Riemersma for 6 yards (tackle by Roman Phifer),0.610,0.870
1,0:16,2,4,BUF 31,0,17,Drew Bledsoe pass complete to Peerless Price for 9 yards (tackle by Otis Smith),0.870,1.600
Quarter,Time,Down,ToGo,Location,BUF,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,BUF 40,0,17,Travis Henry middle for 2 yards (tackle by Richard Seymour and Ted Johnson),1.600,1.320
2,14:21,2,8,BUF 42,0,17,Travis Henry right end for 9 yards (tackle by Ted Johnson),1.320,2.320
2,13:33,1,10,NWE 49,0,17,Drew Bledsoe pass incomplete intended for Travis Henry,2.320,1.780
2,13:28,2,10,NWE 49,0,17,Drew Bledsoe pass incomplete intended for Dave Moore,1.780,1.090
2,13:23,3,10,NWE 49,0,17,"Drew Bledsoe pass incomplete intended for Peerless Price. Penalty on Terrell Buckley: Defensive Holding, 5 yards (no play)",1.090,2.650
2,13:18,1,10,NWE 44,0,17,Travis Henry left end for -2 yards (tackle by Otis Smith and Ted Johnson),2.650,1.840
2,12:30,2,12,NWE 46,0,17,Drew Bledsoe pass complete to Larry Centers for 4 yards (tackle by Victor Green and Tebucky Jones),1.840,1.690
2,11:50,3,8,NWE 42,0,17,Drew Bledsoe pass complete to Peerless Price for 41 yards (tackle by Terrell Buckley),1.690,6.970
2,11:13,1,1,NWE 1,0,17,"Travis Henry right guard for no gain (tackle by Tebucky Jones). Travis Henry fumbles (forced by Tebucky Jones), recovered by Mike Williams at NWE-1",6.970,5.910
2,10:26,2,1,NWE 1,0,17,Drew Bledsoe pass incomplete intended for Dave Moore is intercepted by Tebucky Jones at NWE--3,5.910,-0.280
2,10:20,1,10,NWE 20,0,17,Tom Brady pass complete to Daniel Graham for 2 yards (tackle by London Fletcher and Keith Newman),0.280,0.000
2,9:42,2,8,NWE 22,0,17,Tom Brady pass complete to Daniel Graham for 6 yards (tackle by Eddie Robinson and London Fletcher),0.000,0.100
2,8:56,3,2,NWE 28,0,17,"Penalty on Aaron Schobel: Encroachment, 5 yards (no play)",0.100,1.140
2,8:38,1,10,NWE 33,0,17,Tom Brady pass complete to Antowain Smith for 3 yards (tackle by Antoine Winfield),1.140,1.000
2,7:58,2,7,NWE 36,0,17,Tom Brady pass incomplete intended for David Patten,1.000,0.300
2,7:51,3,7,NWE 36,0,17,"Penalty on Troy Brown: False Start, 5 yards (no play)",0.300,-0.360
2,7:29,3,12,NWE 31,0,17,Tom Brady pass complete to David Givens for 30 yards (tackle by Eddie Robinson and Pierson Prioleau),-0.360,2.980
2,6:42,1,10,BUF 39,0,17,Antowain Smith left end for 8 yards (tackle by London Fletcher),2.980,3.520
2,6:07,1,10,BUF 39,,,Timeout #1 by New England Patriots,2.980,3.520
2,6:07,2,2,BUF 31,0,17,Marc Edwards left guard for no gain (tackle by Pat Williams),3.520,2.810
2,5:30,3,2,BUF 31,0,17,Antowain Smith left tackle for 3 yards (tackle by Ron Edwards and Antoine Winfield),2.810,3.710
2,4:34,1,10,BUF 28,0,17,"Antowain Smith right end for no gain. Penalty on Troy Brown: Offensive Holding, 10 yards (no play)",3.710,3.050
2,4:14,1,20,BUF 38,0,17,Antowain Smith left tackle for 3 yards (tackle by London Fletcher and Eddie Robinson),3.050,2.220
2,3:34,2,17,BUF 35,0,17,Tom Brady pass complete to Troy Brown for 12 yards (tackle by Justin Bannan and Chris Watson),2.220,3.140
2,2:49,3,5,BUF 23,0,17,"Kevin Faulk pass complete to Tom Brady for 23 yards. Penalty on Tom Brady: Illegal Shift, 5 yards (no play)",3.140,2.480
2,2:42,3,10,BUF 28,0,17,Tom Brady pass incomplete intended for Troy Brown,2.480,1.590
2,2:36,4,10,BUF 28,0,20,Adam Vinatieri 46 yard field goal good,1.590,3.000
2,2:36,,,NWE 30,0,20,"Adam Vinatieri kicks off 68 yards, returned by Charlie Rogers for 23 yards (tackle by Je'Rod Cherry)",0.000,0.610
2,2:25,1,10,BUF 25,0,20,Drew Bledsoe pass complete to Peerless Price for 5 yards (tackle by Terrell Buckley),0.610,0.740
2,2:00,2,5,BUF 30,0,20,Drew Bledsoe pass complete to Josh Reed for 19 yards (tackle by Tebucky Jones and Victor Green),0.740,2.190
2,1:37,1,10,BUF 49,0,20,Drew Bledsoe pass incomplete intended for Peerless Price,2.190,1.650
2,1:33,2,10,BUF 49,0,20,Drew Bledsoe pass complete to Ruben Brown for -6 yards (tackle by Richard Seymour),1.650,0.170
2,1:18,2,10,BUF 49,,,Timeout #1 by Buffalo Bills,1.650,0.170
2,1:18,3,16,BUF 43,0,20,Drew Bledsoe pass incomplete intended for Josh Reed,0.170,-0.520
2,1:10,4,16,BUF 43,0,20,"Brian Moorman punts 57 yards, touchback",-0.520,-0.280
2,0:58,1,10,NWE 20,0,20,Tom Brady kneels for -2 yards,0.280,-0.630
