Quarter,Time,Tm,Detail,BUF,NWE
1.0,11:16,Patriots,Adam Vinatieri 39 yard field goal,0,3
,3:35,Patriots,David Patten 10 yard pass from Tom Brady (Adam Vinatieri kick),0,10
,3:14,Patriots,Donald Hayes 9 yard pass from Tom Brady (Adam Vinatieri kick),0,17
2.0,2:31,Patriots,Adam Vinatieri 46 yard field goal,0,20
3.0,7:46,Bills,Mike Hollis 26 yard field goal,3,20
,4:15,Bills,Eric Moulds 12 yard pass from Drew Bledsoe (Mike Hollis kick),10,20
4.0,10:06,Patriots,Antowain Smith 4 yard rush (Adam Vinatieri kick),10,27
,1:05,Bills,Eric Moulds 4 yard pass from Drew Bledsoe (Mike Hollis kick),17,27
