Quarter,Time,Tm,Detail,CLE,CHI
1.0,2:20,Bears,Robbie Gould 37 yard field goal,0,3
,1:13,Bears,Robbie Gould 29 yard field goal,0,6
2.0,8:43,Bears,Robbie Gould 32 yard field goal,0,9
,1:56,Bears,Matt Forte 1 yard rush (Robbie Gould kick),0,16
3.0,10:33,Browns,Derek Anderson 1 yard rush (Phil Dawson kick failed),6,16
,1:42,Bears,Matt Forte 10 yard rush (Robbie Gould kick),6,23
4.0,3:14,Bears,Charles Tillman 21 yard interception return (Robbie Gould kick),6,30
