Quarter,Time,Down,ToGo,Location,CLE,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,CLE 20,0,0,Jamal Lewis right tackle for 4 yards (tackle by Danieal Manning),0.280,0.270
1,14:28,2,6,CLE 24,0,0,Jamal Lewis left end for 2 yards (tackle by Charles Tillman and Danieal Manning),0.270,-0.160
1,13:47,3,4,CLE 26,0,0,Derek Anderson pass incomplete short right intended for Brian Robiskie,-0.160,-1.630
1,13:43,4,4,CLE 26,0,0,"Dave Zastudil punts 50 yards, returned by Devin Hester for 32 yards (tackle by Dave Zastudil)",-1.630,-2.650
1,13:29,1,10,CLE 44,0,0,Matt Forte right guard for 2 yards (tackle by Kenyon Coleman),2.650,2.380
1,12:50,2,8,CLE 42,0,0,Jay Cutler pass incomplete short left intended for Earl Bennett,2.380,1.690
1,12:45,3,8,CLE 42,0,0,Jay Cutler right end for 4 yards (tackle by Eric Wright),1.690,0.720
1,12:01,4,4,CLE 38,0,0,Brad Maynard punts 26 yards,0.720,0.350
1,11:54,1,10,CLE 12,0,0,Josh Cribbs right tackle for 2 yards (tackle by Alex Brown),-0.350,-0.610
1,11:16,2,8,CLE 14,0,0,Derek Anderson pass incomplete short left intended for Michael Gaines,-0.610,-1.190
1,11:12,3,8,CLE 14,0,0,Derek Anderson pass incomplete short right intended for Brian Robiskie (defended by Al Afalava),-1.190,-2.470
1,11:08,4,8,CLE 14,0,0,Dave Zastudil punts 45 yards,-2.470,-1.660
1,10:57,1,10,CHI 41,0,0,"Penalty on Johnny Knox: False Start, 5 yards (no play)",1.660,1.330
1,10:57,1,15,CHI 36,0,0,Jay Cutler sacked by Kenyon Coleman and Robaire Smith for -3 yards,1.330,0.040
1,10:21,2,18,CHI 33,0,0,Jay Cutler pass incomplete short left intended for Matt Forte,0.040,-0.630
1,10:16,3,18,CHI 33,0,0,Jay Cutler pass complete short middle to Earl Bennett for 13 yards (tackle by Brodney Pool),-0.630,-0.320
1,9:38,4,5,CHI 46,0,0,"Brad Maynard punts 39 yards, fair catch by Josh Cribbs",-0.320,0.220
1,9:30,1,10,CLE 15,0,0,Derek Anderson pass complete short right to Lawrence Vickers for 4 yards (tackle by Nick Roach),-0.220,-0.110
1,8:52,2,6,CLE 19,0,0,Jamal Lewis left tackle for no gain (tackle by Hunter Hillenmeyer and Lance Briggs),-0.110,-0.880
1,8:15,3,6,CLE 19,0,0,Josh Cribbs left end for 5 yards (tackle by Danieal Manning),-0.880,-1.770
1,7:38,4,1,CLE 24,0,0,"Dave Zastudil punts 42 yards, returned by Devin Hester for -2 yards (tackle by Alex Hall)",-1.770,-1.070
1,7:27,1,10,CHI 32,0,0,Matt Forte left guard for 4 yards (tackle by David Bowens),1.070,1.070
1,6:54,2,6,CHI 36,0,0,Matt Forte left guard for 1 yard (tackle by Ahtyba Rubin),1.070,0.500
1,6:11,3,5,CHI 37,0,0,Jay Cutler pass complete short left to Matt Forte for 28 yards (tackle by Mike Adams),0.500,3.250
1,5:29,1,10,CLE 35,0,0,Jay Cutler pass incomplete,3.250,2.700
,,,,,,,"CHI challenged the fumble ruling, and the original play was overturned.",,
1,5:24,2,10,CLE 35,0,0,Matt Forte left tackle for 1 yard (tackle by Robaire Smith),2.700,2.150
1,4:47,3,9,CLE 34,0,0,Jay Cutler right guard for 19 yards (tackle by Mike Furrey),2.150,4.580
1,4:03,1,10,CLE 15,0,0,Matt Forte left end for 6 yards (tackle by Kaluka Maiava),4.580,5.030
1,3:28,2,4,CLE 9,0,0,"Penalty on Chris Williams: False Start, 5 yards (no play)",5.030,4.110
1,3:12,2,9,CLE 14,0,0,Devin Hester right end for -5 yards (tackle by Kenyon Coleman),4.110,2.790
1,2:30,3,14,CLE 19,0,0,Jay Cutler pass incomplete deep right intended for Johnny Knox,2.790,2.180
1,2:25,4,14,CLE 19,0,3,Robbie Gould 37 yard field goal good,2.180,3.000
1,,,,CHI 30,0,3,"Robbie Gould kicks off 72 yards, returned by Josh Cribbs for 25 yards (tackle by Corey Graham)",0.000,0.480
1,2:14,1,10,CLE 23,0,3,Derek Anderson pass incomplete deep left intended for Mohamed Massaquoi is intercepted by Danieal Manning at CLE-48 and returned for 35 yards,0.480,-4.710
1,2:02,1,10,CLE 13,0,3,Garrett Wolfe right guard for 2 yards (tackle by David Bowens),4.710,4.390
1,1:27,2,8,CLE 11,0,3,Jay Cutler pass incomplete short right intended for Desmond Clark,4.390,3.450
1,1:23,3,8,CLE 11,0,3,Jay Cutler pass incomplete short right intended for Garrett Wolfe,3.450,2.700
1,1:18,4,8,CLE 11,0,6,Robbie Gould 29 yard field goal good,2.700,3.000
1,,,,CHI 30,0,6,"Robbie Gould kicks off 68 yards, returned by Josh Cribbs for 24 yards (tackle by Corey Graham)",0.000,0.670
1,1:07,1,10,CLE 26,0,6,Jamal Lewis right tackle for 5 yards (tackle by Al Afalava),0.670,0.810
1,0:31,2,5,CLE 31,0,6,Jamal Lewis right tackle for 5 yards (tackle by Zackary Bowman and Nick Roach),0.810,1.330
Quarter,Time,Down,ToGo,Location,CLE,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 36,0,6,Jamal Lewis left tackle for 9 yards (tackle by Hunter Hillenmeyer and Charles Tillman),1.330,2.010
2,14:22,2,1,CLE 45,0,6,Jamal Lewis right guard for 3 yards (tackle by Al Afalava),2.010,2.130
2,13:51,1,10,CLE 48,0,6,"Derek Anderson for no gain. Derek Anderson fumbles, recovered by Adewale Ogunleye at CLE-46 (tackle by Joe Thomas)",2.130,-2.520
2,13:44,1,10,CLE 46,0,6,Jay Cutler pass complete short middle to Greg Olsen for 12 yards (tackle by Brodney Pool),2.520,3.310
2,13:07,1,10,CLE 34,0,6,Matt Forte right tackle for 4 yards (tackle by C.J. Mosley and Jason Trusnik),3.310,3.310
2,12:25,2,6,CLE 30,0,6,Jay Cutler pass complete short right to Matt Forte for 3 yards (tackle by Jason Trusnik),3.310,3.010
2,11:42,3,3,CLE 27,0,6,Jay Cutler pass complete short right to Devin Hester for 6 yards (tackle by Eric Wright),3.010,4.170
2,11:11,1,10,CLE 21,0,6,Matt Forte left end for 12 yards (tackle by Mike Adams and Eric Barton),4.170,5.140
2,10:27,1,9,CLE 9,0,6,Matt Forte left end for 3 yards (tackle by Jason Trusnik),5.140,4.950
2,9:47,2,6,CLE 6,0,6,Matt Forte right guard for 3 yards (tackle by Corey Williams),4.950,4.720
2,9:06,3,3,CLE 3,0,6,Jay Cutler sacked by Kamerion Wimbley for -11 yards,4.720,2.510
2,8:48,4,14,CLE 14,0,9,Robbie Gould 32 yard field goal good,2.510,3.000
2,,,,CHI 30,0,9,"Robbie Gould kicks off 69 yards, returned by Josh Cribbs for 25 yards (tackle by Adrian Peterson)",0.000,0.670
2,8:36,1,10,CLE 26,0,9,Jamal Lewis right end for 2 yards (tackle by Nick Roach),0.670,0.400
2,7:58,2,8,CLE 28,0,9,Jerome Harrison right guard for 5 yards (tackle by Lance Briggs and Marcus Harrison),0.400,0.370
2,7:15,3,3,CLE 33,0,9,Derek Anderson pass incomplete short right intended for Chansi Stuckey,0.370,-1.180
2,7:07,4,3,CLE 33,0,9,Dave Zastudil punts 38 yards,-1.180,-0.870
2,6:56,1,10,CHI 29,0,9,Jay Cutler pass incomplete short right intended for Desmond Clark (defended by Kenyon Coleman),0.870,0.330
2,6:52,2,10,CHI 29,0,9,Jay Cutler pass complete short right to Devin Hester for 2 yards (tackle by Eric Wright),0.330,-0.100
2,6:26,3,8,CHI 31,0,9,"Jay Cutler pass incomplete deep right intended for Johnny Knox. Penalty on Kamerion Wimbley: Roughing the Passer, 15 yards (no play)",-0.100,1.990
2,6:20,1,10,CHI 46,0,9,Matt Forte right guard for no gain (tackle by Abram Elam),1.990,1.450
2,5:45,2,10,CHI 46,0,9,Jay Cutler pass complete deep right to Devin Hester for 21 yards (tackle by Abram Elam),1.450,3.380
2,5:02,1,10,CLE 33,0,9,Jay Cutler pass complete short left to Devin Hester for 7 yards (tackle by Kamerion Wimbley),3.380,3.780
2,4:21,2,3,CLE 26,0,9,Jay Cutler pass complete short right to Greg Olsen for 12 yards (tackle by Eric Wright and Eric Barton),3.780,4.650
2,3:39,,,,0,9,Timeout #1 by Chicago Bears,0.000,4.650
2,3:39,1,10,CLE 14,0,9,Matt Forte left end for 1 yard (tackle by Mike Adams and Kaluka Maiava),4.650,4.160
2,2:59,2,9,CLE 13,0,9,Jay Cutler pass complete short right to Devin Hester for 6 yards,4.160,4.500
2,2:29,,,,0,9,Timeout #1 by Cleveland Browns,0.000,4.500
2,2:29,3,3,CLE 7,0,9,Matt Forte left guard for 6 yards (tackle by Kaluka Maiava),4.500,6.970
2,2:00,1,1,CLE 1,0,15,"Matt Forte right guard for 1 yard, touchdown",6.970,7.000
2,,,,CLE 2,0,16,Robbie Gould kicks extra point good,0.000,0.000
2,,,,CHI 30,0,16,"Robbie Gould kicks off 72 yards, returned by Josh Cribbs for 17 yards (tackle by Craig Steltz)",0.000,-0.220
2,1:51,1,10,CLE 15,0,16,Derek Anderson pass complete short middle to Mike Furrey for 9 yards (tackle by Hunter Hillenmeyer),-0.220,0.620
2,1:31,2,1,CLE 24,0,16,Derek Anderson pass incomplete short left intended for Steve Heiden,0.620,-0.270
2,1:28,,,,0,16,Timeout #2 by Chicago Bears,0.000,-0.270
2,1:28,3,1,CLE 24,0,16,Josh Cribbs left end for 6 yards (tackle by Al Afalava and Lance Briggs),-0.270,0.940
2,1:04,1,10,CLE 30,0,16,Derek Anderson pass incomplete deep left intended for Mohamed Massaquoi,0.940,0.390
2,0:58,2,10,CLE 30,0,16,Derek Anderson sacked by Alex Brown for -11 yards,0.390,-1.870
2,0:49,,,,0,16,Timeout #3 by Chicago Bears,0.000,-1.870
2,0:49,3,21,CLE 19,0,16,Josh Cribbs left end for 11 yards (tackle by Charles Tillman),-1.870,-1.370
Quarter,Time,Down,ToGo,Location,CLE,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,0,16,"Phil Dawson kicks off 62 yards, returned by Danieal Manning for 16 yards (tackle by Raymond Ventrone)",0.000,0.540
3,14:56,1,10,CHI 24,0,16,Matt Forte right guard for no gain (tackle by Jason Trusnik),0.540,0.000
3,14:17,2,10,CHI 24,0,16,Jay Cutler sacked by Corey Williams for -6 yards,0.000,-1.640
3,13:46,3,16,CHI 18,0,16,Matt Forte left guard for 5 yards (tackle by Brodney Pool),-1.640,-1.830
3,13:10,4,11,CHI 23,0,16,"Brad Maynard punts 45 yards, out of bounds. Penalty on Garrett Wolfe: Ineligible Downfield Kic, 5 yards (no play)",-1.830,-2.240
3,13:01,4,16,CHI 18,0,16,Brad Maynard punts 12 yards,-2.240,-3.580
3,12:55,1,10,CHI 30,0,16,Jamal Lewis right tackle for 13 yards (tackle by Tommie Harris),3.580,4.440
3,12:23,1,10,CHI 17,0,16,Jamal Lewis right tackle for 6 yards (tackle by Hunter Hillenmeyer),4.440,4.890
3,11:46,2,4,CHI 11,0,16,Jamal Lewis right guard for 10 yards (tackle by Nick Roach and Danieal Manning),4.890,6.970
3,11:10,1,1,CHI 1,0,16,Jamal Lewis right tackle for no gain (tackle by Tommie Harris and Hunter Hillenmeyer),6.970,5.910
3,10:35,2,1,CHI 1,6,16,"Derek Anderson middle for 1 yard, touchdown",5.910,7.000
3,,,,CHI 2,6,16,Phil Dawson kicks extra point no good,0.000,-1.000
3,,,,CLE 30,6,16,"Phil Dawson kicks off 57 yards, returned by Johnny Knox for 13 yards (tackle by Raymond Ventrone)",0.000,0.670
3,10:26,1,10,CHI 26,6,16,Jay Cutler pass complete short middle to Greg Olsen for 16 yards (tackle by Abram Elam),0.670,1.730
3,9:49,1,10,CHI 42,6,16,Jay Cutler sacked by Jason Trusnik for -6 yards,1.730,0.380
3,9:15,,,,6,16,Timeout #1 by Chicago Bears,0.000,0.380
3,9:15,2,16,CHI 36,6,16,Jay Cutler pass complete short middle to Johnny Knox for 13 yards (tackle by Mike Adams),0.380,1.420
3,8:36,3,3,CHI 49,6,16,Jay Cutler pass incomplete short right intended for Greg Olsen,1.420,-0.130
3,8:31,4,3,CHI 49,6,16,Brad Maynard punts 50 yards,-0.130,0.380
3,8:20,1,10,CLE 1,6,16,Jerome Harrison right guard for 10 yards (tackle by Danieal Manning),-0.380,-0.370
3,7:43,1,10,CLE 11,6,16,Jerome Harrison right guard for 3 yards (tackle by Zackary Bowman),-0.370,-0.530
3,7:07,2,7,CLE 14,6,16,Derek Anderson pass incomplete short right intended for Lawrence Vickers,-0.530,-1.070
3,7:03,,,,6,16,Timeout #1 by Cleveland Browns,0.000,-1.070
3,7:03,3,7,CLE 14,6,16,Derek Anderson pass incomplete,-1.070,-2.470
3,6:53,4,7,CLE 14,6,16,"Dave Zastudil punts 48 yards, returned by Devin Hester for 7 yards (tackle by Abram Elam). Penalty on Corey Graham: Illegal Block Above the , 10 yards",-2.470,-0.940
3,6:41,1,10,CHI 30,6,16,Matt Forte left guard for 3 yards (tackle by Shaun Rogers and Kenyon Coleman),0.940,0.800
3,6:01,2,7,CHI 33,6,16,Matt Forte left end for 3 yards (tackle by Jason Trusnik and Shaun Rogers),0.800,0.500
3,5:15,3,4,CHI 36,6,16,Jay Cutler pass complete short left to Johnny Knox for no gain,0.500,-0.980
3,4:33,4,4,CHI 36,6,16,Brad Maynard punts 25 yards,-0.980,-1.530
3,4:24,1,10,CLE 39,6,16,Jamal Lewis right tackle for 3 yards (tackle by Adewale Ogunleye),1.530,1.390
3,3:54,2,7,CLE 42,6,16,Josh Cribbs left end for 2 yards (tackle by Lance Briggs),1.390,0.960
3,3:10,3,5,CLE 44,6,16,"Derek Anderson pass complete short right to Steve Heiden for 10 yards (tackle by Danieal Manning). Steve Heiden fumbles (forced by Danieal Manning), recovered by Danieal Manning at CHI-46 and returned for 5 yards (tackle by Mike Furrey)",0.960,-2.320
3,3:01,1,10,CLE 49,6,16,Jay Cutler pass incomplete deep left intended for Devin Hester,2.320,1.780
3,2:55,2,10,CLE 49,6,16,Matt Forte right end for 8 yards (tackle by Abram Elam),1.780,2.150
3,2:12,3,2,CLE 41,6,16,Jay Cutler pass complete deep right to Johnny Knox for 31 yards (tackle by Brodney Pool and Eric Wright),2.150,4.910
3,1:49,1,10,CLE 10,6,22,"Matt Forte left guard for 10 yards, touchdown",4.910,7.000
3,,,,CLE 2,6,23,Robbie Gould kicks extra point good,0.000,0.000
3,,,,CHI 30,6,23,"Robbie Gould kicks off 65 yards, returned by Josh Cribbs for 24 yards (tackle by Garrett Wolfe)",0.000,0.870
3,1:35,1,10,CLE 29,6,23,Jamal Lewis right guard for 1 yard (tackle by Al Afalava),0.870,0.460
3,0:57,2,9,CLE 30,6,23,Derek Anderson pass complete short left to Chansi Stuckey for 11 yards (tackle by Hunter Hillenmeyer),0.460,1.660
3,0:23,1,10,CLE 41,6,23,Derek Anderson pass complete short left to Josh Cribbs for 23 yards (tackle by Al Afalava),1.660,3.180
Quarter,Time,Down,ToGo,Location,CLE,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CHI 36,6,23,Jamal Lewis left tackle for 6 yards (tackle by Marcus Harrison),3.180,3.450
4,14:29,2,4,CHI 30,6,23,"Josh Cribbs right tackle for 2 yards (tackle by Nick Roach). Josh Cribbs fumbles (forced by Nick Roach), recovered by John St. Clair at CHI-28",3.450,3.010
4,13:45,3,2,CHI 28,6,23,Jerome Harrison left guard for 1 yard (tackle by Alex Brown),3.010,1.820
4,13:04,4,1,CHI 27,6,23,Derek Anderson pass incomplete short left intended for Steve Heiden (defended by Al Afalava),1.820,-0.810
4,13:00,1,10,CHI 28,6,23,Jay Cutler pass incomplete deep right intended for Kellen Davis,0.810,0.260
4,12:55,2,10,CHI 28,6,23,Matt Forte right end for 4 yards (tackle by Kamerion Wimbley),0.260,0.100
4,12:11,3,6,CHI 32,6,23,Jay Cutler pass incomplete short middle intended for Johnny Knox is intercepted by Brodney Pool at CHI-35 and returned for 1 yard,0.100,-3.310
,,,,,,,"CHI challenged the incomplete pass ruling, and the play was upheld.",,
4,12:03,1,10,CHI 34,6,23,"Derek Anderson pass complete deep left to Mohamed Massaquoi for 19 yards (tackle by Nick Roach). Mohamed Massaquoi fumbles (forced by Nick Roach), recovered by Charles Tillman at CHI-15 (tackle by Mohamed Massaquoi)",3.310,0.220
4,11:54,1,10,CHI 15,6,23,Jay Cutler pass complete short right to Earl Bennett for 16 yards (tackle by Coye Francies and David Bowens),-0.220,1.000
4,11:13,1,10,CHI 31,6,23,Matt Forte left guard for 5 yards (tackle by Robaire Smith and David Bowens),1.000,1.140
4,10:36,2,5,CHI 36,6,23,"Jay Cutler left end for 11 yards (tackle by Jason Trusnik and Kaluka Maiava). Penalty on Eric Wright: Defensive Holding, 5 yards",1.140,2.390
4,10:06,1,10,CLE 48,6,23,Matt Forte right guard for 4 yards (tackle by Robaire Smith),2.390,2.390
4,9:22,2,6,CLE 44,6,23,Matt Forte right tackle for 3 yards (tackle by Robaire Smith),2.390,2.080
4,8:36,,,,6,23,Timeout #3 by Chicago Bears,0.000,2.080
4,8:36,3,3,CLE 41,6,23,Jay Cutler pass complete short right to Devin Hester for 6 yards (tackle by Hank Poteat),2.080,3.250
4,7:56,1,10,CLE 35,6,23,Matt Forte right tackle for no gain (tackle by Jason Trusnik and Kaluka Maiava),3.250,2.700
4,7:11,2,10,CLE 35,6,23,Jay Cutler pass complete short left to Devin Hester for 33 yards (tackle by Mike Adams),2.700,6.740
4,6:22,1,2,CLE 2,6,23,Jay Cutler pass incomplete short middle intended for Desmond Clark,6.740,5.720
4,6:16,2,2,CLE 2,6,23,Matt Forte left tackle for no gain (tackle by Mike Adams),5.720,4.950
4,5:39,3,2,CLE 2,6,23,Matt Forte left guard for 1 yard (tackle by Ahtyba Rubin and Robaire Smith),4.950,3.550
4,4:56,4,1,CLE 1,6,23,Jay Cutler pass incomplete short left intended for Desmond Clark (defended by Kamerion Wimbley),3.550,0.380
4,4:50,1,10,CLE 1,6,23,Jerome Harrison right guard for no gain (tackle by Mark Anderson),-0.380,-0.780
4,4:08,2,10,CLE 1,6,23,Jamal Lewis right guard for no gain (tackle by Anthony Adams and Mark Anderson),-0.780,-1.420
4,3:25,3,10,CLE 1,6,29,"Derek Anderson pass incomplete deep left intended for Mohamed Massaquoi is intercepted by Charles Tillman at CLE-21 and returned for 21 yards, touchdown",-1.420,-7.000
4,,,,CLE 2,6,30,Robbie Gould kicks extra point good,0.000,0.000
4,,,,CHI 30,6,30,"Robbie Gould kicks off 71 yards, returned by Josh Cribbs for 56 yards (tackle by Darrell McClover). Penalty on Nick Sorensen: Illegal Block Above the , 10 yards",0.000,-0.370
4,3:02,1,10,CLE 11,6,30,Brady Quinn pass complete short left to Mohamed Massaquoi for 9 yards (tackle by Charles Tillman),-0.370,0.360
4,2:56,2,1,CLE 20,6,30,Brady Quinn pass incomplete short left intended for Mohamed Massaquoi,0.360,-0.370
4,2:54,3,1,CLE 20,6,30,Brady Quinn pass incomplete short right intended for Steve Heiden,-0.370,-2.030
4,2:50,4,1,CLE 20,6,30,"Dave Zastudil punts 49 yards, returned by Devin Hester for 69 yards. Penalty on Rashied Davis: Offensive Holding, 10 yards",-2.030,-1.330
4,2:31,1,10,CHI 36,6,30,Garrett Wolfe left tackle for 5 yards (tackle by Robaire Smith and Coye Francies),1.330,1.470
4,2:00,2,5,CHI 41,6,30,Garrett Wolfe left guard for 5 yards (tackle by Corey Williams),1.470,1.990
4,1:52,,,,6,30,Timeout #2 by Cleveland Browns,0.000,1.990
4,1:52,1,10,CHI 46,6,30,Garrett Wolfe right tackle for 5 yards (tackle by Alex Hall),1.990,2.130
4,1:06,2,5,CLE 49,6,30,Garrett Wolfe left guard for 36 yards (tackle by Brodney Pool),2.130,4.710
4,0:57,1,10,CLE 13,6,30,Jay Cutler kneels for -1 yards,4.710,3.900
4,0:29,2,11,CLE 14,6,30,Jay Cutler kneels for -1 yards,3.900,3.030
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
