Unnamed: 0,CLE,CHI
First Downs,9,20
Rush-Yds-TDs,29-117-1,37-170-2
Cmp-Att-Yd-TD-INT,7-20-85-0-2,17-30-225-0-1
Sacked-Yards,1-11,4-26
Net Pass Yards,74,199
Total Yards,191,369
Fumbles-Lost,4-3,0-0
Turnovers,5,1
Penalties-Yards,3-30,5-35
Third Down Conv.,1-11,6-16
Fourth Down Conv.,0-1,0-1
Time of Possession,22:35,37:25
