Unnamed: 0,SFO,ATL
First Downs,21,27
Rush-Yds-TDs,29-149-3,23-81-0
Cmp-Att-Yd-TD-INT,16-21-233-1-0,30-42-396-3-1
Sacked-Yards,1-9,1-0
Net Pass Yards,224,396
Total Yards,373,477
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,4-24,2-30
Third Down Conv.,2-6,5-9
Fourth Down Conv.,0-0,0-1
Time of Possession,27:56,32:04
