Quarter,Time,Down,ToGo,Location,SFO,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"David Akers kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,ATL 20,0,0,Michael Turner left tackle for 3 yards (tackle by Justin Smith),0.280,0.140
1,14:18,2,7,ATL 23,0,0,Matt Ryan pass complete short middle to Julio Jones for 13 yards (tackle by Tarell Brown),0.140,1.330
1,13:41,1,10,ATL 36,0,0,Michael Turner right tackle for 1 yard (tackle by Navorro Bowman and Ray McDonald),1.330,0.930
1,13:00,2,9,ATL 37,0,0,Matt Ryan pass incomplete short left intended for Roddy White (defended by Tarell Brown),0.930,0.230
1,12:55,3,9,ATL 37,0,0,Matt Ryan pass complete deep middle to Roddy White for 16 yards (tackle by Dashon Goldson),0.230,2.460
1,12:11,1,10,SFO 47,0,0,Jacquizz Rodgers right guard for 1 yard (tackle by Justin Smith),2.460,2.050
1,11:31,2,9,SFO 46,0,6,"Matt Ryan pass complete deep left to Julio Jones for 46 yards, touchdown",2.050,7.000
1,11:31,,,SFO 2,0,7,Matt Bryant kicks extra point good,0.000,0.000
1,11:24,,,ATL 35,0,7,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
1,11:24,1,10,SFO 20,0,7,Colin Kaepernick pass complete short right to Michael Crabtree for 1 yard (tackle by Asante Samuel),0.280,-0.130
1,10:44,2,9,SFO 21,0,7,Frank Gore left guard for no gain (tackle by Corey Peters and Jonathan Babineaux),-0.130,-0.820
1,10:03,3,9,SFO 21,0,7,Colin Kaepernick pass incomplete short left intended for Vernon Davis (defended by Thomas DeCoud),-0.820,-1.960
1,9:57,4,9,SFO 21,0,7,"Andy Lee punts 62 yards, returned by Harry Douglas for 1 yard (tackle by Michael Wilhoite)",-1.960,-0.040
1,9:43,1,10,ATL 18,0,7,Matt Ryan pass complete short left to Julio Jones for 8 yards (tackle by Navorro Bowman),0.040,0.680
1,9:07,2,2,ATL 26,0,7,Michael Turner right end for 3 yards (tackle by Isaac Sopoaga),0.680,0.870
1,8:27,1,10,ATL 29,0,7,Matt Ryan pass complete short middle to Julio Jones for 6 yards (tackle by Tarell Brown),0.870,1.140
1,7:46,2,4,ATL 35,0,7,Matt Ryan pass complete short right to Tony Gonzalez for 5 yards (tackle by Patrick Willis),1.140,1.600
1,7:08,1,10,ATL 40,0,7,Matt Ryan pass complete short left to Roddy White for 10 yards (tackle by Tarell Brown),1.600,2.260
1,6:26,1,10,,0,7,Michael Turner right guard for no gain (tackle by Navorro Bowman),2.260,1.710
1,5:45,2,10,,0,7,Matt Ryan pass incomplete deep left intended for Julio Jones,1.710,1.030
1,5:38,3,10,,0,7,Matt Ryan pass complete short right to Julio Jones for 27 yards (tackle by Patrick Willis),1.030,4.040
1,4:53,1,10,SFO 23,0,7,Jacquizz Rodgers right end for -2 yards (tackle by Patrick Willis),4.040,3.230
1,4:12,2,12,SFO 25,0,7,Matt Ryan pass complete short right to Tony Gonzalez for 8 yards (tackle by Patrick Willis),3.230,3.660
1,3:28,3,4,SFO 17,0,7,Matt Ryan pass incomplete short right intended for Jacquizz Rodgers (defended by Navorro Bowman),3.660,2.390
1,3:24,4,4,SFO 17,0,10,Matt Bryant 35 yard field goal good,2.390,3.000
1,3:20,,,ATL 35,0,10,"Matt Bosher kicks off 70 yards, returned by LaMichael James for 25 yards (tackle by Christopher Owens)",0.000,0.280
1,3:12,1,10,SFO 20,0,10,Colin Kaepernick pass incomplete short left intended for Randy Moss (defended by Corey Peters),0.280,-0.270
1,3:08,2,10,SFO 20,0,10,Frank Gore left tackle for 6 yards (tackle by Sean Weatherspoon),-0.270,-0.160
1,2:28,3,4,SFO 26,0,10,Colin Kaepernick sacked by Corey Peters for -9 yards,-0.160,-2.320
1,1:57,4,13,SFO 17,0,10,Andy Lee punts 46 yards (tackle by Michael Wilhoite),-2.320,-1.800
1,1:49,1,10,ATL 43,0,10,Michael Turner right guard for 4 yards (tackle by Justin Smith),1.800,1.790
1,1:10,2,6,ATL 47,0,10,Michael Turner left guard for 10 yards (tackle by Patrick Willis),1.790,2.720
1,0:26,1,10,SFO 43,0,10,Matt Ryan pass complete deep right to Roddy White for 23 yards (tackle by Chris Culliver),2.720,4.240
Quarter,Time,Down,ToGo,Location,SFO,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SFO 20,0,16,"Matt Ryan pass complete deep left to Julio Jones for 20 yards, touchdown",4.240,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,15:00,,,SFO 2,0,17,Matt Bryant kicks extra point good,0.000,0.000
2,14:54,,,ATL 35,0,17,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
2,14:54,1,10,SFO 20,0,17,Frank Gore right guard for 9 yards (tackle by William Moore and Thomas DeCoud),0.280,0.950
2,14:19,2,1,SFO 29,0,17,Frank Gore right guard for 1 yard (tackle by Sean Weatherspoon and Akeem Dent),0.950,0.940
2,13:37,1,10,SFO 30,0,17,Frank Gore right tackle for 3 yards (tackle by Akeem Dent),0.940,0.800
2,12:54,2,7,SFO 33,0,17,Frank Gore left end for 7 yards (tackle by Dunta Robinson),0.800,1.600
2,12:19,1,10,SFO 40,0,17,Colin Kaepernick pass complete short left to Randy Moss for 8 yards (tackle by Thomas DeCoud),1.600,2.130
2,11:45,2,2,SFO 48,0,17,Colin Kaepernick pass complete short right to Michael Crabtree for 7 yards (tackle by Asante Samuel),2.130,2.590
2,11:08,1,10,ATL 45,0,17,Colin Kaepernick pass complete short left to Michael Crabtree for 4 yards (tackle by Dunta Robinson),2.590,2.580
2,10:24,2,6,ATL 41,0,17,Colin Kaepernick pass complete short right to LaMichael James for 4 yards (tackle by Corey Peters),2.580,2.410
2,9:32,3,2,ATL 37,0,17,"Penalty on Colin Kaepernick: Delay of Game, 5 yards (no play)",2.410,1.750
2,9:08,3,7,ATL 42,0,17,Colin Kaepernick pass complete short left to Vernon Davis for 27 yards (tackle by Chris Hope and William Moore),1.750,4.580
2,8:20,1,10,ATL 15,0,17,Colin Kaepernick pass incomplete short right intended for Michael Crabtree,4.580,3.950
2,8:14,2,10,ATL 15,6,17,"LaMichael James right end for 15 yards, touchdown",3.950,7.000
2,8:14,,,ATL 2,7,17,David Akers kicks extra point good,0.000,0.000
2,8:08,,,SFO 35,7,17,"David Akers kicks off 65 yards, touchback",0.000,0.280
2,8:08,1,10,ATL 20,7,17,Matt Ryan pass complete short left to Roddy White for 14 yards (tackle by Carlos Rogers),0.280,1.200
2,7:27,1,10,ATL 34,7,17,Michael Turner left guard for 6 yards (tackle by Ray McDonald),1.200,1.470
2,6:40,2,4,ATL 40,7,17,Matt Ryan pass incomplete short left intended for Jacquizz Rodgers,1.470,0.760
2,6:36,3,4,ATL 40,7,17,Matt Ryan pass incomplete short right intended for Jacquizz Rodgers,0.760,-0.720
2,6:32,4,4,ATL 40,7,17,"Matt Bosher punts 42 yards, fair catch by Ted Ginn Jr.",-0.720,-0.040
2,6:24,1,10,SFO 18,7,17,"Colin Kaepernick pass complete short left to Vernon Davis for 25 yards (tackle by Thomas DeCoud). Penalty on Mike Iupati: Offensive Holding, 9 yards (no play)",0.040,-0.720
2,5:54,1,19,SFO 9,7,17,LaMichael James right end for 3 yards (tackle by William Moore and Sean Weatherspoon),-0.720,-1.220
2,5:12,2,16,SFO 12,7,17,Colin Kaepernick pass complete short left to Vernon Davis for 19 yards (tackle by Sean Weatherspoon),-1.220,1.000
2,4:25,1,10,SFO 31,7,17,Frank Gore left tackle for no gain (tackle by Peria Jerry),1.000,0.460
2,3:47,2,10,SFO 31,7,17,Colin Kaepernick left end for 23 yards (tackle by Thomas DeCoud),0.460,2.520
2,3:00,1,10,ATL 46,7,17,"Frank Gore right guard for 2 yards (tackle by Vance Walker and Akeem Dent). Penalty on Stephen Nicholas: Unnecessary Roughness, 15 yards",2.520,3.640
2,2:28,1,10,ATL 29,7,17,Colin Kaepernick pass complete deep right to Vernon Davis for 25 yards (tackle by Asante Samuel),3.640,6.280
2,2:00,1,4,ATL 4,13,17,"Colin Kaepernick pass complete short right to Vernon Davis for 4 yards, touchdown",6.280,7.000
2,2:00,,,ATL 2,14,17,David Akers kicks extra point good,0.000,0.000
2,1:55,,,SFO 35,14,17,"David Akers kicks off 65 yards, touchback",0.000,0.280
2,1:55,1,10,ATL 20,14,17,Matt Ryan pass complete short right to Roddy White for 15 yards (tackle by Chris Culliver),0.280,1.270
2,1:33,1,10,ATL 35,14,17,Matt Ryan pass incomplete short right intended for Roddy White,1.270,0.720
2,1:30,2,10,ATL 35,14,17,Matt Ryan pass complete short middle to Tony Gonzalez for 16 yards (tackle by Dashon Goldson),0.720,2.320
2,1:08,1,10,SFO 49,14,17,"Matt Ryan pass incomplete short right intended for Roddy White. Penalty on Chris Culliver: Illegal Contact, 5 yards (no play)",2.320,2.650
2,1:04,1,10,SFO 44,14,17,Matt Ryan pass complete short left to Roddy White for 13 yards (tackle by Tarell Brown),2.650,3.510
2,0:57,1,10,SFO 31,14,17,Matt Ryan pass complete short left to Julio Jones for 15 yards (tackle by Tarell Brown),3.510,0.000
2,0:37,,,,14,17,Timeout #1 by San Francisco 49ers,0.000,4.510
2,0:37,1,10,SFO 16,14,17,Matt Ryan pass complete short right to Tony Gonzalez for 6 yards (tackle by Patrick Willis and Dashon Goldson),4.510,0.000
2,0:29,,,,14,17,Timeout #1 by Atlanta Falcons,0.000,4.970
2,0:29,2,4,SFO 10,14,23,"Matt Ryan pass complete short middle to Tony Gonzalez for 10 yards, touchdown",4.970,7.000
2,0:29,,,SFO 2,14,24,Matt Bryant kicks extra point good,0.000,0.000
2,0:25,,,ATL 35,14,24,"Matt Bosher kicks off 69 yards, returned by LaMichael James for 19 yards (tackle by William Moore)",0.000,-0.220
2,0:19,1,10,SFO 15,14,24,LaMichael James right end for 1 yard (tackle by Kroy Biermann),-0.220,-0.580
Quarter,Time,Down,ToGo,Location,SFO,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,14,24,"Matt Bosher kicks off 67 yards, returned by LaMichael James for 20 yards (tackle by Robert James)",0.000,0.040
3,14:55,1,10,SFO 18,14,24,Colin Kaepernick pass complete short left to Randy Moss for 21 yards (tackle by Dunta Robinson),0.040,1.530
3,14:27,1,10,SFO 39,14,24,Frank Gore left end for 6 yards (tackle by Akeem Dent and Stephen Nicholas),1.530,1.800
3,13:41,2,4,SFO 45,14,24,Frank Gore left guard for 11 yards (tackle by Stephen Nicholas),1.800,2.650
3,13:00,1,10,ATL 44,14,24,Frank Gore left end for 2 yards (tackle by Sean Weatherspoon),2.650,2.380
3,12:14,2,8,ATL 42,14,24,Colin Kaepernick pass complete deep left to Delanie Walker for 20 yards (tackle by Dunta Robinson),2.380,4.110
3,11:34,1,10,ATL 22,14,24,Colin Kaepernick pass complete short middle to Randy Moss for 17 yards (tackle by William Moore and Thomas DeCoud),4.110,6.060
