Unnamed: 0,DAL,ARI
First Downs,15,14
Rush-Yds-TDs,22-73-0,19-50-0
Cmp-Att-Yd-TD-INT,24-39-321-3-0,22-30-236-2-1
Sacked-Yards,3-20,1-10
Net Pass Yards,301,226
Total Yards,374,276
Fumbles-Lost,4-1,2-2
Turnovers,1,3
Penalties-Yards,12-93,12-70
Third Down Conv.,6-15,5-12
Fourth Down Conv.,0-0,0-0
Time of Possession,33:15,27:45
