Unnamed: 0,NYG,DAL
First Downs,10,16
Rush-Yds-TDs,22-54-0,31-104-0
Cmp-Att-Yd-TD-INT,18-32-190-0-0,17-26-240-1-0
Sacked-Yards,5-31,3-18
Net Pass Yards,159,222
Total Yards,213,326
Fumbles-Lost,1-0,0-0
Turnovers,0,0
Penalties-Yards,4-20,3-35
Third Down Conv.,4-17,3-12
Fourth Down Conv.,1-2,0-0
Time of Possession,27:31,32:29
